box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,08-09,11.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,8,11.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,04-05,2.0,1.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7440_output,DUNKIRK,BEACON,,,42580 800,28,8.0,1.0,,R,,1.0,,1.0,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_15_TACTICAL,IMG_7440_output,DUNKIRK,BEACON,,,42580 800,29,8.0,1.0,,R,,1.0,,2.0,,,12.0,4.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,26-27,9.0,1.0,,R,,2.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,26-27,9.0,1.0,,R,,3.0,,,,,1.0,3.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,26-27,9.0,1.0,,R,,2.0,,,,,1.0,5.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_7,BOOK_15_TACTICAL,IMG_7441_output,DUNKIRK,ANTI AIRCRAFT BATTERY,,,42580 820,26-27,9.0,1.0,,R,,4.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_7,BOOK_15_TACTICAL,IMG_7440_output,DUNKIRK,BEACON,,,42580 800,28-29,9.0,1.0,,R,,1.0,,3.0,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_7,BOOK_15_TACTICAL,IMG_7440_output,DUNKIRK,BEACON,,,42580 800,28-29,9.0,1.0,,R,,1.0,,4.0,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7440_output,DUNKIRK,BEACON,,,42580 800,28-29,9.0,1.0,,R,,1.0,,5.0,,,1.0,2.0,0.15,,,,,,,,,0.15,False
