box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3660_output,Elsenborn,Elsenborn Aerodrome,,,3217780,08-09,8.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4482_output,Elsenborn,Elsenborn Airdrome,,,94231 780,10-11,7.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4482_output,Elsenborn,Elsenborn Airdrome,,,94231 780,10-11,7.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4482_output,Elsenborn,Elsenborn Airdrome,,,94231 780,10-11,7.0,1.0,,R,,1.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,800.0,8.0,91DG,11.0,213.0,1.0,N,3.0,80.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1047.0,8.0,457AG,11.0,205.0,1.0,N,3.0,110.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1048.0,8.0,351AG,11.0,220.0,1.0,N,3.0,50.0,3.0,14.0,4.0,2.0,110.0,6.0,27.5,,,,41.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1048.0,8.0,457BG,9.0,200.0,1.0,N,3.0,90.0,3.0,23.0,4.0,2.0,105.0,12.0,28.0,,,,51.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1055.0,8.0,91CG,2.0,230.0,1.0,N,3.0,20.0,3.0,5.0,4.0,2.0,112.0,6.0,28.0,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1101.0,8.0,91AG,11.0,213.0,1.0,N,3.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1103.0,8.0,91BG,11.0,193.0,1.0,N,3.0,90.0,3.0,23.0,4.0,2.0,,,,,,,23.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1152_output,Elsenborn,UNIDENTIFIED TARGET,527N,613E,203217,9.0,8.0,4.0,1430.0,8.0,457CG,55.0,210.0,1.0,N,3.0,70.0,3.0,21.0,4.0,91.0,,,,,,,21.0,False
