box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4566_output,ENKHUISEN,UNIDENTIFIED AIRDROME,,,95222 780,06-07,9.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4566_output,ENKHUISEN,UNIDENTIFIED AIRDROME,,,95222 780,06-07,9.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7746_output,ENKHUISEN,GELDEN SEARCHLIGHTS,,,95300 800,04-05,12.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,12.0,36.0,,,,,0.25,False
BOX_7,BOOK_15_TACTICAL,IMG_7746_output,ENKHUISEN,GELDEN SEARCHLIGHTS,,,95300 800,4-5,12.0,0.0,,R,,1.0,,,,,4.0,2.0,0.5,,,,,,,,,0.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7743_output,ENKHUISEN,SEARCHLIGHTS BTY,,,431,18-19,3.0,1.0,,R,,1.0,,,,,2.0,2.0,0.25,,,120.0,2.0,0.24,,,,0.49,False
BOX_7,BOOK_15_TACTICAL,IMG_7744_output,ENKHUISEN,SEARCHLIGHTS BTY,,,95222 800,18-19,3.0,1.0,,R,,1.0,,,,,502.0,2.0,62.75,,,120.0,,,,,,62.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7744_output,ENKHUISEN,SEARCHLIGHTS BTY,,,95222 800,20,3.0,1.0,,R,,1.0,,,,,471.0,2.0,58.875,,,,,,,,,58.875,False
BOX_7,BOOK_15_TACTICAL,IMG_7744_output,ENKHUISEN,SEARCHLIGHTS BTY,,,95222 800,22,3.0,1.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_7,BOOK_15_TACTICAL,IMG_7744_output,ENKHUISEN,SEARCHLIGHTS BTY,,,95222 800,23,3.0,1.0,,R,,1.0,,,,,5.1,2.0,0.6375,,,,,,,,,0.6375,False
BOX_7,BOOK_15_TACTICAL,IMG_7744_output,ENKHUISEN,SEARCHLIGHTS BTY,,,95222 800,24,3.0,1.0,,R,,180.0,,,,,4.0,2.0,0.5,,,,,,,,,0.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,11,10.0,4.0,,R,,88.0,,,,,507.0,4.0,254.0,,,,,,,,,254.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,11,10.0,4.0,,R,,88.0,,,,,281.0,3.0,70.0,,,,,,,,,70.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,11,10.0,4.0,,R,,88.0,,,,,471.0,4.0,236.0,,,,,,,,,236.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,11,10.0,4.0,,R,,88.0,,,,,400.0,4.0,200.0,,,,,,,,,200.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,12,10.0,4.0,,R,,88.0,,,,,377.0,4.0,189.0,,,,,,,,,189.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,12,10.0,4.0,,R,,88.0,,,,,304.0,3.0,76.0,,,,,,,,,76.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,12,10.0,4.0,,R,,92.0,,,,,661.0,8.0,330.5,,,,,,,,,330.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,12,10.0,4.0,,R,,89.0,,,,,1192.0,8.0,596.0,,,,,,,,,596.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7745_output,ENKHUISEN,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,433,95260 820,12,10.0,4.0,,R,,180.0,,,,,437.0,8.0,218.5,,,,,,,,,218.5,False
