box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,92G,93.0,240.0,3.0,N,1.0,130.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,94G,93.0,230.0,3.0,N,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,95G,93.0,230.0,3.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,96G,93.0,230.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,100G,93.0,230.0,3.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,305G,93.0,240.0,1.0,N,1.0,107.0,3.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,305BG,3.0,240.0,3.0,N,1.0,34.0,3.0,9.0,4.0,2.0,,,,,,,9.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,306G,11.0,250.0,1.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,4.0,4.0,1241.0,8.0,390G,11.0,240.0,3.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,91G,2.0,240.0,3.0,N,1.0,19.0,3.0,5.0,4.0,2.0,,,,,,,5.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,94G,1.0,245.0,3.0,N,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,95G,20.0,248.0,3.0,N,1.0,239.0,3.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,96G,16.0,252.0,3.0,N,1.0,192.0,3.0,48.0,4.0,2.0,,,,,,,48.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,96AG,4.0,250.0,3.0,N,1.0,24.0,3.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1200.0,8.0,97G,16.0,205.0,3.0,N,1.0,183.0,3.0,46.0,4.0,2.0,,,,,,,46.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1201.0,8.0,385AG,17.0,235.0,3.0,N,1.0,204.0,3.0,51.0,4.0,2.0,,,,,,,51.0,False
BOX_3,BOOK_8_WEAPON,IMG_3462_output,EQUIHEN,V WEAPONS,540N,134E,42705 850,2.0,6.0,4.0,1222.0,8.0,401G,17.0,210.0,3.0,N,1.0,170.0,3.0,51.0,4.0,2.0,,,,,,,51.0,False
