box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,3.0,3.0,4.0,1440.0,8.0,379G,1.0,240.0,7.0,P,1.0,,,,,,100.0,26.0,1.0,,,,1.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1429.0,8.0,401G,18.0,270.0,7.0,G,1.0,,,,,,752.0,7.0,26.0,,,,26.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1434.0,8.0,393G,18.0,227.0,7.0,G,1.0,469.0,1.0,13.0,4.0,3.0,144.0,11.0,31.68,,,,44.68,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1434.0,8.0,351G,16.0,261.0,1.0,G,1.0,,,,,,460.0,5.0,23.0,,,,23.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1437.0,8.0,448G,17.0,268.0,7.0,G,1.0,272.0,1.0,14.0,4.0,3.0,612.0,5.0,30.6,,,,44.6,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1439.0,8.0,383G,19.0,247.0,7.0,C,1.0,684.0,1.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1440.0,8.0,392G,20.0,250.0,7.0,G,1.0,469.0,1.0,23.0,4.0,3.0,311.0,7.0,11.0,,,,34.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1440.0,8.0,394G,19.0,220.0,7.0,G,1.0,140.0,1.0,7.0,4.0,3.0,420.0,5.0,21.0,,,,28.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1440.0,8.0,381G,20.0,256.0,7.0,G,1.0,,,,,,580.0,5.0,29.0,,,,29.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1441.0,8.0,382G,19.0,230.0,1.0,G,2.0,250.0,1.0,18.0,1.0,1.0,792.0,7.0,27.0,,,,45.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1441.0,8.0,392G,20.0,225.0,7.0,G,1.0,360.0,1.0,18.0,4.0,3.0,756.0,7.0,26.0,,,,44.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1442.0,8.0,458G,19.0,240.0,7.0,G,1.0,260.0,1.0,13.0,4.0,2.0,728.0,7.0,25.0,,,,38.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1445.0,8.0,381G,21.0,270.0,7.0,G,1.0,228.0,1.0,11.0,4.0,3.0,,,,152.0,9.0,41.04,52.04,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7014_output,ERKNER,VKF BEARING,5226N,1345E,46639 320,8.0,3.0,4.0,1447.0,8.0,379G,20.0,247.0,1.0,G,1.0,216.0,1.0,11.0,4.0,3.0,150.0,11.0,33.0,,,,44.0,False
