box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,11.0,1.0,200.0,R,,30.0,150.0,,,,2.0,6.0,4.0,,,18.0,31.0,0.27,,,,4.27,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,11.0,1.0,200.0,R,,30.0,150.0,,,,40.0,2.0,5.0,,,,,,,,,5.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,11.0,1.0,200.0,R,,30.0,150.0,,,,121.0,3.0,30.0,,,,,,,,,30.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,11.0,1.0,200.0,R,,30.0,150.0,,,,12.727272727272728,4.0,7.0,,,3500.0,2.0,7.0,,,,14.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,28,12.0,1.0,200.0,R,,1.0,150.0,,,,1.0,5.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,28-29,12.0,1.0,200.0,R,,30.0,150.0,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1909_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,,,989,01,3.0,2.0,245.0,R,,1.0,148.0,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08,3.0,2.0,200.0,R,,50.0,150.0,,,,30.0,2.0,3.75,,,,,,,,,3.75,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,3.0,2.0,200.0,R,,129.0,150.0,,,,7.0,6.0,14.0,,,56.0,32.0,7.0,,,,21.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1908_output,ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,5339N,737E,46647,08-09,3.0,2.0,200.0,R,,4.0,150.0,,,,19.0,6.0,38.0,,,66.0,32.0,8.0,,,,46.0,False
