box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,457AG,11.0,196.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,457BG,11.0,200.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,457CG,16.0,205.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,458G,33.0,210.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,459AG,3.0,213.0,5.0,N,1.0,2.0,3.0,0.5,1.0,4.0,3.0,,,,5.0,,0.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,460G,36.0,217.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,492G,713.0,210.0,5.0,N,1.0,2.0,3.0,0.5,1.0,4.0,,,,,,,0.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1142.0,8,493G,713.0,210.0,5.0,N,1.0,2.0,3.0,0.5,1.0,4.0,,,,,,,0.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1201.0,8,491G,36.0,210.0,5.0,N,1.0,,,,,,,,,38.46153846153846,5.0,5.0,5.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7559_output,ESSE,Eschweiler Tactical Targets,,,,16,11.0,4.0,1245.0,8,461G,29.0,210.0,5.0,N,1.0,2.0,3.0,0.5,1.0,4.0,3.0,,,38.46153846153846,5.0,5.0,5.5,False
