box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,26-27,8.0,0.0,100.0,R,,2.0,150.0,,,,16.0,2.0,2.0,,1.0,120.0,2.0,0.24,,,,2.24,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,12-13,9.0,0.0,120.0,R,,1.0,150.0,,,,4.0,2.0,0.6,,1.0,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,22-23,11.0,0.0,203.0,R,,1.0,150.0,,,,4.0,2.0,0.6,,1.0,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,19,12.0,0.0,210.0,R,,1.0,150.0,,,,2.0,3.0,0.6,,1.0,100.0,2.0,0.2,,,,0.8,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,19-20,12.0,0.0,215.0,R,,1.0,150.0,,,,2.0,2.0,0.3,,1.0,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,16,1.0,1.0,205.0,R,,1.0,150.0,,,,2.0,4.0,1.0,,1.0,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,15-16,6.0,1.0,210.0,R,,1.0,150.0,,,,2.0,3.0,0.6,,1.0,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,15-16,6.0,1.0,210.0,R,,1.0,150.0,,,,1.0,2.0,0.15,,1.0,,,,,,,0.15,False
BOX_7,BOOK_15_TACTICAL,IMG_7561_output,ESSENAUSE,FLAKEBATTERY,,,46648 820,10-11,10.0,1.0,205.0,R,,1.0,150.0,,,,2.0,4.0,1.0,,1.0,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7562_output,ESSENAUSE,Feldhausen Hutted Camp,4817N,917E,46753 800,21.0,3.0,5.0,1238.0,8.0,306AG,12.0,250.0,1.0,N,1.0,40.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7562_output,ESSENAUSE,Feldhausen Hutted Camp,4817N,917E,46753 800,21.0,3.0,5.0,1239.0,8.0,306BG,13.0,240.0,1.0,N,1.0,442.0,1.0,22.0,1.0,3.0,,,,,,,22.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7562_output,ESSENAUSE,Feldhausen Hutted Camp,4817N,917E,46753 800,22.0,3.0,5.0,1235.0,8.0,91G,1.0,250.0,1.0,N,1.0,6.0,3.0,2.0,4.0,3.0,6.0,12.0,2.0,,,,4.0,False
