box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1054.0,8.0,401AG,10.0,253.0,1.0,N,1.0,50.0,4.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1055.0,8.0,401CG,8.0,256.0,1.0,N,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1056.0,8.0,401BG,10.0,245.0,1.0,N,1.0,50.0,4.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1057.0,8.0,305G,13.0,251.0,1.0,N,1.0,78.0,4.0,39.0,2.0,2.0,,,,,,,39.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1058.0,8.0,305CG,13.0,257.0,1.0,N,1.0,144.0,3.0,39.0,2.0,2.0,,,,,,,39.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1058.0,8.0,306CG,12.0,255.0,1.0,N,1.0,144.0,3.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1059.0,8.0,305BG,11.0,245.0,1.0,N,1.0,66.0,4.0,33.0,2.0,2.0,,,,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1100.0,8.0,457BG,9.0,244.0,1.0,N,1.0,108.0,2.0,14.0,4.0,3.0,36.0,6.0,9.0,,,,23.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1100.0,8.0,457CG,9.0,260.0,1.0,N,1.0,108.0,2.0,14.0,4.0,3.0,36.0,6.0,9.0,,,,23.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1102.0,8.0,457AG,10.0,250.0,1.0,N,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1113.0,8.0,306AG,13.0,250.0,1.0,N,1.0,156.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1118.0,8.0,306BG,12.0,246.0,1.0,N,1.0,144.0,3.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1947_output,Falkenberg,Unidentified Target,5248N,1358E,46784 10,19.0,4.0,5.0,1136.0,8.0,381AG,12.0,258.0,1.0,N,4.0,59.0,4.0,30.0,2.0,2.0,,,,,,,30.0,False
