box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4163_output,FASSBERG,AIRDROME,5255N,1012E,46752 780,18.0,6.0,4.0,,8,94G,1.0,,,,4.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4163_output,FASSBERG,AIRDROME,5255N,1012E,46752 780,25.0,6.0,4.0,,R,106G,1.0,,,,3.0,,,,,,300.0,3.0,1.0,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1032.0,8,305AG,12.0,121.0,1.0,N,1.0,,,,,,,,,454.0,7.0,27.0,27.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1035.0,8,306G,12.0,113.0,1.0,N,1.0,48.0,4.0,24.0,2.0,2.0,72.0,6.0,18.0,,,,42.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1040.0,8,91AG,11.0,120.0,1.0,N,2.0,209.0,2.0,26.0,3.0,1.0,,,,,,,26.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1048.0,8,379AG,13.0,120.0,1.0,N,1.0,104.0,3.0,26.0,4.0,3.0,52.0,6.0,13.0,,,,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1050.0,8,306CG,12.0,118.0,1.0,N,2.0,48.0,4.0,24.0,2.0,2.0,72.0,6.0,18.0,,,,42.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1051.0,8,305BG,11.0,115.0,1.0,N,1.0,,,,,,,,,416.0,7.0,24.96,24.96,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1100.0,8,92BG,12.0,108.0,1.0,N,1.0,6.0,4.0,3.0,4.0,3.0,6.0,6.0,1.5,,,,4.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1100.0,8,351AG,13.0,150.0,1.0,N,2.0,488.0,1.0,6.0,3.0,10.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1100.0,8,351CG,13.0,156.0,1.0,N,2.0,246.0,2.0,31.0,4.0,1.0,,,,,,,31.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1111.0,8,379CG,13.0,127.0,1.0,N,1.0,103.0,3.0,26.0,4.0,3.0,48.0,6.0,12.0,350.0,5.0,53.0,91.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1430.0,8,303G,16.0,114.0,1.0,N,1.0,8.0,3.0,2.0,4.0,2.0,4.0,6.0,1.0,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1430.0,8,305CG,1.0,116.0,7.0,N,1.0,,,,,,,,,33.333333333333336,7.0,2.0,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1430.0,8,91S,12.0,137.0,1.0,N,3.0,163.0,11.0,27.0,4.0,1.0,,,,,,,27.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1434.0,8,379B,13.0,130.0,1.0,N,2.0,150.0,3.0,37.5,4.0,1.0,,,,,,,37.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1434.0,8,379G,151.0,140.0,1.0,N,3.0,150.0,3.0,37.5,4.0,1.0,72.0,34.0,79.0,350.0,5.0,53.0,169.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4176_output,FASSBERG,AIRDROME,5255N,1012E,4678'5 780,4,4.0,5.0,1523.0,8,91AG,12.0,150.0,1.0,N,3.0,218.0,2.0,27.0,9.0,1.0,,,,,,,27.0,False
