box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,19.0,6.0,4.0,948.0,8.0,453G,10.0,212.0,3.0,N,1.0,488.0,1.0,24.0,1.0,2.0,,,,,,,24.0,False
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,19.0,6.0,4.0,1200.0,8.0,93AG,1.0,213.0,3.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,19.0,6.0,4.0,1434.0,8.0,93BG,1.0,215.0,3.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,19.0,6.0,4.0,1805.0,8.0,453AG,10.0,216.0,3.0,N,1.0,475.0,1.0,24.0,1.0,2.0,,,,,,,24.0,False
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,20.0,6.0,4.0,650.0,8.0,453AG,10.0,211.0,3.0,N,1.0,520.0,1.0,26.0,1.0,2.0,,,,,,,26.0,False
BOX_3,BOOK_8_WEAPON,IMG_3465_output,FIENVILLERS,V WEAPONS SIGHT,57N,214E,42800 850,20.0,6.0,4.0,1430.0,8.0,93AG,1.0,213.0,3.0,N,1.0,38.0,1.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1506_output,FIENVILLERS,UNIDENTIFIED TARGET,,214E,42800 10,23.0,6.0,4.0,1200.0,8.0,384G,1.0,205.0,3.0,N,1.0,17.0,2.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1506_output,FIENVILLERS,UNIDENTIFIED TARGET,,214E,42800 10,24.0,6.0,4.0,1348.0,8.0,401G,16.0,205.0,3.0,N,1.0,279.0,2.0,35.0,4.0,2.0,,,,,,,35.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1506_output,FIENVILLERS,UNIDENTIFIED TARGET,,214E,42800 10,27.0,6.0,4.0,900.0,8.0,404G,18.0,205.0,3.0,N,1.0,,,,,,1.0,5.0,0.05,,,,0.05,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1506_output,FIENVILLERS,UNIDENTIFIED TARGET,,214E,42800 10,1.0,7.0,4.0,1800.0,8.0,409G,23.0,205.0,3.0,N,1.0,,,,,,1.0,6.0,0.25,,,,0.25,False
