box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,20.0,6.0,4.0,930.0,8.0,50G,13.0,208.0,1.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,20.0,6.0,4.0,2020.0,8.0,491G,13.0,208.0,1.0,N,1.0,624.0,1.0,31.0,1.0,91.0,,,,,,,31.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,20.0,6.0,4.0,2020.0,8.0,491G,13.0,213.0,1.0,N,1.0,272.0,2.0,34.0,1.0,3.0,,,,,,,34.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7445_output,Fleury,Tactical Target,4921N,121E,42827 800,6.0,6.0,4.0,717.0,8.0,91AG,27.0,133.0,3.0,N,1.0,999.0,1.0,51.0,1.0,1.0,,,,,,,51.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7445_output,Fleury,Tactical Target,4921N,121E,42827 800,6.0,6.0,4.0,1200.0,8.0,401G,11.0,133.0,6.0,N,1.0,60.0,3.0,15.0,4.0,2.0,,,,,,,15.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7445_output,Fleury,Tactical Target,4921N,121E,42827 800,6.0,6.0,4.0,1430.0,8.0,91AG,3.0,133.0,4.0,N,1.0,68.0,1.0,3.0,1.0,1.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7445_output,Fleury,Tactical Target,4921N,121E,42827 800,6.0,6.0,4.0,1430.0,8.0,91AG,7.0,133.0,5.0,N,1.0,11.0,3.0,3.0,1.0,1.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,3.0,8.0,4.0,1803.0,8.0,384AG,13.0,255.0,1.0,N,1.0,251.0,2.0,31.0,1.0,91.0,,,,,,,31.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,30.0,8.0,4.0,1128.0,8.0,453AG,8.0,215.0,1.0,N,1.0,215.0,2.0,23.0,1.0,91.0,,,,,,,23.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1509_output,Fleury,City Area,4921N,121E,42827,4.0,8.0,4.0,1800.0,8.0,385G,8.0,218.0,2.0,N,1.0,181.0,2.0,23.0,1.0,91.0,,,,,,,23.0,False
