box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,01-02,5.0,0.0,,R,,6.0,,,,,27.0,2.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,02,5.0,0.0,,R,,12.0,,,,,17.0,2.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,02,5.0,0.0,,R,,12.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,02-03,5.0,0.0,,R,,6.0,,,,,30.0,2.0,4.0,,,,,,,,,4.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,04-06,5.0,0.0,,R,,6.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,07,5.0,0.0,,R,,8.0,,,,,72.0,2.0,9.0,,,,,,,,,9.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,07-08,5.0,0.0,,R,,9.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,10,5.0,0.0,,R,,12.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3029_output,FLORO,LEBOCHEFFINC,,,5301,11,5.0,0.0,,R,,12.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3030_output,FLORO,LEBOCHEFFINC,,,5301,06-07,9.0,1.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
