box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,1.0,4.0,5.0,1030.0,8.0,379CG,14.0,265.0,1.0,N,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,1.0,4.0,5.0,1251.0,8.0,381AG,12.0,263.0,1.0,N,1.0,24.0,5.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,10.0,4.0,5.0,900.0,8.0,351CG,13.0,250.0,1.0,N,1.0,20.0,5.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,10.0,4.0,5.0,1248.0,8.0,91CG,11.0,255.0,1.0,N,1.0,55.0,4.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,10.0,4.0,5.0,1254.0,8.0,351CG,12.0,244.0,1.0,N,1.0,10.0,4.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,10.0,4.0,5.0,1300.0,8.0,303AG,13.0,265.0,1.0,N,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,11.0,4.0,5.0,1247.0,8.0,91AG,12.0,250.0,1.0,N,1.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,11.0,4.0,5.0,1252.0,8.0,381CG,12.0,270.0,1.0,N,1.0,26.0,5.0,26.0,4.0,3.0,,,,,,,26.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,11.0,4.0,5.0,1254.0,8.0,457AG,12.0,265.0,1.0,N,1.0,119.0,3.0,30.0,4.0,5.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0615_output,FREIHAM,FREIHAM OIL STORAGE,4808N,1123E,46786 530,11.0,4.0,5.0,1255.0,8.0,457G,11.0,255.0,1.0,N,1.0,105.0,3.0,26.0,4.0,3.0,,,,,,,26.0,False
