box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7701_output,FRISIAN ISLANDS,ANTI AIRCRAFT BTRY,,,94272 820,01-02,1.0,0.0,,R,,1.0,,,C,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7701_output,FRISIAN ISLANDS,ANTI AIRCRAFT BTRY,,,94272 820,01-02,12.0,0.0,,R,,1.0,,,C,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3054_output,FRISIAN ISLANDS,LEBOCHEFFINC,,,2331,25.0,6.0,3.0,,8.0,358S,5.0,,7.0,P,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3058_output,FRISIAN ISLANDS,LEBOCHEFFINC,5334,2335,aa080,7.0,6.0,4.0,1200.0,8.0,93G,1.0,200.0,5.0,N,4.0,10.0,3.0,3.0,4.0,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3058_output,FRISIAN ISLANDS,LEBOCHEFFINC,5334,2335,aa080,7.0,6.0,4.0,1408.0,8.0,09G,10.0,200.0,5.0,N,4.0,120.0,3.0,30.0,4.0,,,,,,,,30.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3058_output,FRISIAN ISLANDS,LEBOCHEFFINC,5334,2335,aa080,7.0,6.0,4.0,1434.0,8.0,10G,10.0,200.0,5.0,N,4.0,65.0,4.0,33.0,4.0,,,,,,,,33.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3055_output,FRISIAN ISLANDS,LEBOCHEFFINC,,,88032,19.0,7.0,4.0,914.0,8,392G,12.0,232.0,1,N,4.0,,,,,,5000.0,1.0,5.0,23.0,,,5.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3059_output,FRISIAN ISLANDS,LEBOCHEFFINC,,,2331,19.0,7.0,4.0,,8.0,401AG,1.0,,,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3056_output,FRISIAN ISLANDS,LEBOCHEFFINC,,,2331,1.0,1.0,5.0,,8.0,398CG,1.0,,,,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_3057_output,FRISIAN ISLANDS,LEBOCHEFFINC,5333,2334,,10.0,1.0,5.0,,8.0,91AG,1.0,,,,3.0,38.0,1.0,2.0,3.0,10.0,,,,,,,2.0,False
