box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6111_output,Furth,Marshalling Yards,4929N,1058E,46778 630,25.0,2.0,4.0,1405.0,8.0,392G,22.0,190.0,7.0,G,1.0,264.0,3.0,66.0,4.0,2.0,3.0,5.0,0.15,,,,66.15,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4173_output,Furth,Airdrome,4929N,1058E,46778 780,25.0,2.0,4.0,1410.0,8.0,389G,17.0,180.0,7.0,N,1.0,,,,,,,,,680.0,7.0,40.0,40.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6111_output,Furth,Marshalling Yards,4929N,1058E,46778 630,26.0,2.0,4.0,900.0,8.0,393G,22.0,190.0,7.0,G,1.0,265.0,3.0,66.0,4.0,2.0,,,,,,,66.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,900.0,8.0,447AG,1.0,240.0,1.0,N,4.0,6.0,3.0,2.0,4.0,2.0,5.0,6.0,1.25,,,,3.25,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,900.0,8.0,447CG,1.0,245.0,1.0,N,4.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,900.0,8.0,447G,15.0,246.0,1.0,N,4.0,12.0,3.0,3.0,4.0,2.0,7.0,6.0,1.75,,,,4.75,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,950.0,8.0,486AG,29.0,246.0,1.0,N,1.0,116.0,4.0,58.0,2.0,2.0,116.0,6.0,29.0,,,,87.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,1119.0,8.0,487G,32.0,248.0,1.0,N,1.0,150.0,3.0,38.0,4.0,3.0,63.0,6.0,15.75,,,,53.75,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,5.0,4.0,5.0,1119.0,8.0,487G,40.0,245.0,1.0,N,1.0,301.0,2.0,38.0,3.0,2.0,,,,,,,38.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,937.0,8.0,453G,21.0,220.0,4.0,N,2.0,13.0,2.0,2.0,3.0,3.0,3.0,5.0,0.15,,,,2.15,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,939.0,8.0,467G,20.0,230.0,4.0,N,2.0,2.0,3.0,0.6,4.0,3.0,172.0,6.0,43.0,,,,43.6,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,940.0,8.0,491G,183.0,220.0,4.0,N,2.0,326.6666666666667,3.0,98.0,2.0,3.0,10.0,6.0,2.5,,,,100.5,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,941.0,8.0,453G,27.0,220.0,4.0,N,2.0,358.0,2.0,45.0,3.0,3.0,4.0,6.0,1.0,,,,46.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,942.0,8.0,445G,27.0,280.0,1.0,N,2.0,156.0,2.0,20.0,3.0,3.0,4.0,5.0,0.2,,,,20.2,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,944.0,8.0,445G,20.0,250.0,4.0,N,2.0,4.0,3.0,1.0,4.0,3.0,158.0,6.0,39.5,,,,40.5,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,944.0,8.0,446G,21.0,220.0,4.0,N,2.0,18.0,3.0,5.4,1.0,3.0,,,,,,,5.4,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,946.0,8.0,448G,10.0,225.0,4.0,N,2.0,87.0,3.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,949.0,8.0,491G,20.0,220.0,4.0,N,2.0,274.0,2.0,34.0,3.0,3.0,5.0,5.0,0.25,,,,34.25,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,950.0,8.0,44G,45.0,221.0,4.0,N,2.0,320.0,2.0,40.0,3.0,3.0,,,,,,,40.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,6.0,4.0,5.0,950.0,8.0,398G,10.0,230.0,4.0,N,2.0,188.0,2.0,24.0,3.0,3.0,4.0,5.0,0.2,,,,24.2,False
BOX_7,BOOK_14_SUPPLY,IMG_7210_output,Furth,Ord Depot,4929N,1058E,44778,7.0,4.0,5.0,938.0,8.0,458G,26.0,218.0,4.0,N,2.0,236.0,3.0,59.0,4.0,3.0,,,,,,,59.0,False
