box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1344.0,8.0,446G,26.0,180.0,1.0,N,1.0,130.0,3.0,52.0,4.0,2.0,,,,,,,52.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1346.0,8.0,93G,23.0,180.0,1.0,N,1.0,,,,,,999.0,7.0,41.0,,,,41.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1348.0,8.0,448G,24.0,195.0,1.0,N,1.0,110.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1350.0,8.0,389G,13.0,180.0,1.0,N,1.0,130.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1352.0,8.0,445G,21.0,185.0,1.0,N,1.0,,,,,,999.0,7.0,38.0,,,,38.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,24.0,4.0,4.0,1430.0,8.0,448G,24.0,185.0,1.0,N,1.0,475.0,1.0,24.0,4.0,4.0,,,,,,,24.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1988_output,Gablingen,Lykora Cole,4827N,1052E,46954,25.0,4.0,4.0,1351.0,8.0,453G,13.0,180.0,1.0,N,1.0,130.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4190_output,Gablingen,GYMNICH AIRDROME,4827N,1052E,46954 780,21.0,3.0,5.0,1205.0,15.0,98G,7.0,207.0,1.0,P,3.0,,,,,,,,,1700.0,2.0,17.0,17.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4190_output,Gablingen,GYMNICH AIRDROME,4827N,1052E,46954 780,28.0,3.0,5.0,600.0,15.0,106G,7.0,207.0,9.0,P,3.0,,,,,,,,,1.0,2.0,0.01,0.01,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4486_output,Gablingen,Airfield Gablingen,,,94300 780,16-17,4.0,5.0,334.0,R,,4.0,220.0,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4486_output,Gablingen,Airfield Gablingen,,,94300 780,16-17,4.0,5.0,334.0,R,,17.0,220.0,,,,186.0,3.0,47.0,,,14.0,32.0,2.0,,,,49.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4486_output,Gablingen,Airfield Gablingen,,,94300 780,16-17,4.0,5.0,,R,,1.0,220.0,,,,,,,,,999.0,2.0,1.998,,,,1.998,False
