box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5383_output,Genoa,GENOA MARSHALLING YARDS,4424N,857E,40629 630,02-03,9.0,0.0,900.0,R,305G,2.0,205.0,7.0,G,3.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5383_output,Genoa,GENOA MARSHALLING YARDS,4424N,857E,40629 630,02-03,9.0,0.0,1430.0,R,305S,2.0,200.0,7.0,G,3.0,10.0,3.0,3.0,4.0,3.0,150.0,2.0,0.3,,,,3.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,10-11,9.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,9.0,37.0,0.225,,,,0.825,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,10-11,9.0,1.0,,R,,1.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,12-13,9.0,1.0,,R,,1.0,,,,,1.0,5.0,1.0,,,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5383_output,Genoa,GENOA MARSHALLING YARDS,4424N,857E,40629 630,26-27,9.0,1.0,1500.0,R,305A,1.0,195.0,7.0,G,3.0,1.0,3.0,0.3,4.0,3.0,180.0,2.0,0.36,,,,0.6599999999999999,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,32.0,,,,,14.0,4.0,7.0,,,90.0,37.0,2.0,,,,9.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,2.0,,,,,4.0,4.0,2.0,,,8000.0,2.0,16.0,,,,18.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,1.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,1.0,,,,,1.0,3.0,0.3,,,36.0,1.0,,,,,0.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,2.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1379_output,Genoa,UNIDENTIFIED TARGET,4424N,857E,40629,28-29,9.0,1.0,,R,,2.0,,,,,13.333333333333334,2.0,2.0,,,7000.0,2.0,14.0,,,,16.0,False
