box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,12.0,5.0,4.0,1250.0,8.0,452G,10.0,218.0,1.0,N,3.0,598.0,1.0,30.0,4.0,4.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,28.0,5.0,4.0,1300.0,8.0,307G,12.0,250.0,3.0,N,3.0,228.0,1.0,11.0,4.0,3.0,,,,,,,11.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,28.0,5.0,4.0,1300.0,8.0,390G,5.0,250.0,3.0,N,3.0,190.0,1.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1954_output,GERA,UNIDENTIFIED TARGET,553N,1206E,46912,13.0,9.0,4.0,1120.0,8.0,401AG,11.0,290.0,1.0,N,2.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,7.0,10.0,4.0,1250.0,8.0,3798G,11.0,266.0,3.0,N,3.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,30.0,11.0,4.0,1339.0,8.0,306AG,12.0,265.0,3.0,N,3.0,236.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,30.0,11.0,4.0,1339.0,8.0,306BG,9.0,219.0,3.0,N,3.0,180.0,2.0,23.0,4.0,3.0,,,,,,,23.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,23.0,2.0,5.0,1143.0,9.0,458G,19.0,203.0,4.0,N,4.0,178.0,3.0,53.4,4.0,3.0,,,,,,,53.4,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,23.0,2.0,5.0,1143.0,9.0,467G,20.0,195.0,4.0,N,4.0,248.0,3.0,62.0,4.0,3.0,3.0,5.0,0.15,,,,62.15,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1020.0,9.0,388AG,1.1,151.0,4.0,N,2.0,110.0,3.0,28.0,4.0,3.0,22.0,12.0,6.0,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1022.0,9.0,388BG,13.0,156.0,1.0,N,1.0,442.0,1.0,22.0,3.0,3.0,26.0,12.0,7.0,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1022.0,9.0,388CG,12.0,156.0,1.0,N,1.0,214.0,2.0,27.0,4.0,3.0,30.0,6.0,7.5,,,,34.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1022.0,9.0,452G,50.0,153.0,4.0,N,2.0,198.0,2.0,25.0,4.0,3.0,72.0,6.0,18.0,,,,43.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1022.0,9.0,452G,36.0,153.0,4.0,N,2.0,224.0,2.0,28.0,4.0,1.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1032.0,9.0,96G,20.0,152.0,4.0,N,2.0,288.0,3.0,72.0,4.0,2.0,,,,,,,72.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6119_output,GERA,MARSHALLING YARD,553N,1206E,46912 630,6.0,4.0,5.0,1032.0,9.0,96G,20.0,150.0,4.0,N,2.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
