box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,1.0,2.0,410.0,8,95G,12.0,238.0,6.0,N,2.0,140.0,3.0,35.0,4.0,2.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,1.0,2.0,410.0,8,96G,12.0,250.0,3.0,N,2.0,404.0,1.0,20.0,1.0,3.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,1.0,2.0,1930.0,8,95G,12.0,250.0,6.0,N,2.0,146.0,3.0,37.0,4.0,2.0,,,,,,,37.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,96G,12.0,255.0,3.0,N,2.0,404.0,1.0,20.0,1.0,3.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,96CG,12.0,245.0,3.0,N,2.0,403.0,1.0,20.0,1.0,3.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,385BG,1.0,260.0,3.0,N,2.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,388AG,12.0,267.0,6.0,N,2.0,372.0,1.0,19.0,1.0,3.0,22.0,12.0,6.0,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,388BG,12.0,266.0,6.0,N,2.0,390.0,1.0,20.0,1.0,3.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,388CG,12.0,250.0,6.0,N,2.0,408.0,1.0,20.0,1.0,3.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,11,12.0,2.0,411.0,8,4470G,12.0,244.0,6.0,N,2.0,48.0,3.0,12.0,4.0,2.0,,,,,,,12.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,1,9.0,4.0,1030.0,8,92BG,1.0,270.0,1.0,N,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,13,9.0,4.0,1158.0,8,457CG,10.0,260.0,1.0,N,2.0,90.0,3.0,23.0,4.0,3.0,,,,,,,23.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,2,9.0,4.0,1108.0,8,457B,8.0,285.0,1.0,N,2.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,21,11.0,4.0,1231.0,8,385BG,2.0,265.0,3.0,N,4.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6123_output,GIESSEN,MARSHALLING YARD,5 36N,8 41E,46923 630,21,11.0,4.0,1231.0,8,390BG,11.0,265.0,3.0,N,4.0,212.0,2.0,27.0,1.0,3.0,,,,,,,27.0,False
