box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1351_output,GIURGIU,SUGAR REFINERY,4354N,2558E,18319,11.0,6.0,4.0,1400.0,15.0,454G,1.0,200.0,7.0,N,3.0,13.333333333333334,2.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1351_output,GIURGIU,SUGAR REFINERY,4354N,2558E,18319,12.0,6.0,4.0,900.0,15.0,455G,1.0,200.0,7.0,P,2.0,13.333333333333334,2.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1351_output,GIURGIU,SUGAR REFINERY,4354N,2558E,18319,13.0,7.0,4.0,1204.0,15.0,456G,19.0,200.0,7.0,C,1.0,188.0,1.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1351_output,GIURGIU,SUGAR REFINERY,4354N,2558E,18319,15.0,7.0,4.0,930.0,15.0,458G,21.0,200.0,7.0,G,1.0,4.0,2.0,0.6,4.0,91.0,,,,,,,0.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1151.0,8,450G,30.0,200.0,7,C,1.0,296.0,3.0,74.0,4.0,2.0,,,,,,,74.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1155.0,8,449G,14.0,215.0,7,C,1.0,137.0,3.0,34.0,9.0,91.0,,,,,,,34.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1200.0,8,449G,14.0,212.0,7,N,1.0,138.0,3.0,35.0,9.0,91.0,,,,,,,35.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1430.0,8,98G,10.0,212.0,7,N,1.0,99.0,3.0,25.0,4.0,91.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1434.0,8,451G,68.0,210.0,7,C,1.0,200.0,3.0,60.0,9.0,91.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0488_output,GIURGIU,OIL STORAGE,4354N,2558E,18319,3,7.0,4.0,1434.0,8,452G,68.0,211.0,7,C,1.0,250.0,4.0,168.0,9.0,91.0,,,,,,,168.0,False
