box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1058_output,Gleisdorf,Factory,4706N,1542E,2323,6.0,11.0,4.0,,15.0,2G,1.0,,7.0,N,3.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1058_output,Gleisdorf,Factory,4706N,1542E,2323,6.0,11.0,4.0,,15.0,305G,1.0,,7.0,N,3.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1057_output,Gleisdorf,Unidentified Target,4706N,1542E,2323 10,11.0,12.0,4.0,,15.0,98G,1.0,,7.0,N,3.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1057_output,Gleisdorf,Unidentified Target,4706N,1542E,2323 10,11.0,12.0,4.0,,15.0,98G,1.0,,8.0,N,3.0,4.0,3.0,1.0,5.0,9.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1057_output,Gleisdorf,Unidentified Target,4706N,1542E,2323 10,12.0,12.0,4.0,,15.0,98S,1.0,,9.0,N,3.0,3.0,3.0,0.9,6.0,10.0,,,,,,,0.9,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,18.0,12.0,4.0,1400.0,15.0,97G,1.0,230.0,7.0,N,3.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,18.0,12.0,4.0,1430.0,15.0,449G,1.0,230.0,7.0,N,3.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,8.0,12.0,4.0,505.0,15.0,485G,2.0,230.0,7.0,P,2.0,9.0,3.0,2.0,4.0,12.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,8.0,12.0,4.0,1430.0,15.0,485G,2.0,230.0,7.0,P,2.0,8.0,3.0,2.0,4.0,9.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,31.0,1.0,5.0,1501.0,15.0,454G,3.0,230.0,1.0,P,3.0,16.0,3.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,21.0,2.0,5.0,1430.0,15.0,456G,1.0,230.0,1.0,P,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,21.0,2.0,5.0,1438.0,15.0,376G,5.0,233.0,1.0,P,3.0,35.0,3.0,9.0,4.0,91.0,,,,,,,9.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,30.0,3.0,5.0,1132.0,15.0,376G,2.0,230.0,3.0,P,2.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4771_output,Gleisdorf,Marshalling Yards,4706N,1542E,2323630,30.0,3.0,5.0,1430.0,15.0,376G,2.0,230.0,1.0,P,2.0,10.0,3.0,3.0,4.0,92.0,,,,,,,3.0,False
