box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,8.0,1.0,5.0,1200.0,R,452AG,210.0,141.0,1,N,1.0,194.0,3.0,48.5,4.0,7.0,120.0,9.0,23.0,,,,71.5,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,8.0,1.0,5.0,1235.0,R,452G,215.0,141.0,1,N,1.0,193.0,3.0,46.0,4.0,6.0,,,,,,,46.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1120.0,8.0,91CG,12.0,175.0,4.0,N,2.0,204.0,2.0,26.0,2.0,1.0,24.0,6.0,6.0,,,,32.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1122.0,8.0,91AG,12.0,170.0,1.0,N,1.0,204.0,2.0,26.0,4.0,1.0,24.0,6.0,6.0,,,,32.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1124.0,8.0,398AG,10.0,163.0,4.0,N,2.0,50.0,3.0,15.0,4.0,2.0,40.0,6.0,10.0,,,,25.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1125.0,8.0,381AG,12.0,167.0,4.0,N,2.0,48.0,4.0,24.0,4.0,2.0,24.0,12.0,8.0,,,,32.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1125.0,8.0,381BG,12.0,170.0,4.0,N,2.0,4.8,4.0,2.4,4.0,2.0,33.0,6.0,8.0,,,,10.4,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1125.0,8.0,398BG,11.0,175.0,4.0,N,2.0,66.0,3.0,17.0,4.0,2.0,40.0,6.0,10.0,,,,27.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1126.0,8.0,381CG,13.0,173.0,4.0,N,2.0,52.0,4.0,26.0,4.0,2.0,36.0,6.0,9.0,,,,35.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1400.0,8.0,305BG,1.0,172.0,4.0,N,2.0,8.0,3.0,2.0,4.0,2.0,4.0,6.0,1.0,,,,3.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1430.0,8.0,91BG,12.0,173.0,4.0,N,1.0,34.0,2.0,4.0,3.0,1.0,24.0,6.0,6.0,,,,10.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1430.0,8.0,91BG,12.0,174.0,4.0,N,1.0,340.0,1.0,17.0,1.0,3.0,,,,,,,17.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7213_output,GRAFENWOHR,ORD DEPOT,4943N,1155E,46959830,5.0,4.0,5.0,1434.0,8.0,453AG,1.0,172.0,7.0,N,3.0,13.0,2.0,2.0,3.0,2.0,4.0,6.0,1.0,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,4.0,6.0,5.0,1217.0,R,452G,190.0,150.0,1,N,1.0,298.0,3.0,72.0,4.0,3.0,144.0,12.0,46.0,,,,118.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,5.0,6.0,5.0,1043.0,R,452G,195.0,145.0,1,N,1.0,369.0,3.0,101.0,4.0,4.0,126.0,10.0,10.0,,,,111.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,10.0,7.0,5.0,1245.0,R,495G,202.0,150.0,1,N,1.0,,,,,,123.0,,179.0,,,,179.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,7.0,7.0,5.0,1230.0,R,452G,205.0,139.0,1,N,1.0,300.0,1.0,11.0,4.0,2.0,125.0,6.0,30.0,,,,41.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,7.0,7.0,5.0,1230.0,R,452G,210.0,140.0,1,N,1.0,192.0,3.0,76.0,4.0,5.0,,,,,,,76.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,8.0,7.0,5.0,1214.0,R,493G,29.0,150.0,1,N,1.0,193.3333333333333,3.0,58.0,4.0,9.0,116.0,6.0,29.0,,,,87.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,8.0,7.0,5.0,1230.0,R,490G,210.0,150.0,1,N,1.0,192.0,3.0,48.0,4.0,8.0,132.0,6.0,33.0,,,,81.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0258_output,GRAFENWOHR,TANK ARD DEPOT,,1155E,46959 210,9.0,7.0,5.0,1230.0,R,494G,202.0,150.0,1,N,1.0,192.0,3.0,57.6,4.0,10.0,124.0,,170.0,,,,227.6,False
