box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,900.0,8,385CG,1.0,215.0,1,N,3.0,38.0,1.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1420.0,8,385CG,13.0,215.0,1,N,1.0,486.0,1.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1422.0,8,385AG,12.0,220.0,1,N,1.0,448.0,1.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1422.0,8,385BG,12.0,228.0,1,N,1.0,448.0,1.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1426.0,8,385CG,10.0,220.0,1,N,1.0,372.0,1.0,19.0,4.0,3.0,,,,,,,19.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1426.0,8,4470G,13.0,215.0,1,N,1.0,38.0,1.0,1.9,1.0,3.0,,,,,,,1.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1426.0,8,487G,3.0,220.0,1,N,1.0,113.0,1.0,6.0,1.0,3.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1427.0,8,385DG,7.0,215.0,1,N,1.0,258.0,1.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1427.0,8,447G,3.0,215.0,1,N,1.0,114.0,1.0,6.0,1.0,3.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,24.0,12.0,4.0,1430.0,8,486BG,1.0,215.0,1,N,3.0,14.0,2.0,2.0,4.0,3.0,4.0,6.0,1.0,1.0,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,25.0,12.0,4.0,600.0,8,488G,75.0,220.0,1,N,3.0,100.0,1.0,5.0,1.0,3.0,,,,1.0,,,5.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4186_output,Gross Ostheim,Air Field,528N,1013E,46945 780,26.0,12.0,4.0,930.0,8,489G,75.0,220.0,1,N,1.0,80.0,1.0,4.0,1.0,3.0,4.0,6.0,1.0,,,,5.0,False
