box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8089_output,HAGEN,NAVEL TARGET STORES AND COMPONE,5336,,47054 700,06,4.0,4.0,,R,,2.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8089_output,HAGEN,NAVEL TARGET STORES AND COMPONE,5336,,47054 700,06,4.0,4.0,,R,,2.0,,,,,6.0,5.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_8089_output,HAGEN,NAVEL TARGET STORES AND COMPONE,5336,,47054 700,06-07,4.0,4.0,,R,,2.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,1.0,2.0,5.0,1505.0,8.0,306G,12.0,255.0,5.0,N,1.0,180.0,2.0,27.0,4.0,3.0,20.0,6.0,5.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,1.0,2.0,5.0,1506.0,8.0,306BG,12.0,249.0,5.0,N,1.0,215.0,2.0,27.0,4.0,3.0,20.0,6.0,5.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,1.0,2.0,5.0,1509.0,8.0,303AG,13.0,250.0,5.0,N,1.0,130.0,3.0,33.0,4.0,3.0,26.0,12.0,7.0,,,,40.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,1.0,2.0,5.0,1510.0,8.0,303BG,11.0,240.0,5.0,N,1.0,101.0,3.0,25.0,4.0,3.0,20.0,6.0,5.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1532.0,8.0,384CG,13.0,252.0,5.0,N,1.0,155.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1600.0,8.0,303AG,13.0,253.0,5.0,N,1.0,33.0,1.0,2.0,3.0,10.0,4.0,6.0,1.0,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1600.0,8.0,351AG,3.0,252.0,5.0,N,1.0,102.0,1.0,5.0,3.0,10.0,6.0,12.0,2.0,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1615.0,8.0,379G,1.0,250.0,4.0,N,1.0,33.0,1.0,2.0,3.0,10.0,4.0,6.0,1.0,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1630.0,8.0,401AG,12.0,248.0,5.0,N,1.0,398.0,1.0,20.0,3.0,10.0,2.0,6.0,0.5,,,,20.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1630.0,8.0,401G,12.0,240.0,5.0,N,1.0,407.0,1.0,20.0,3.0,10.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,10.0,2.0,5.0,1630.0,8.0,401CG,12.0,249.0,5.0,N,1.0,405.0,1.0,20.0,3.0,10.0,24.0,6.0,6.0,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,11.0,2.0,5.0,1630.0,8.0,404G,12.0,248.0,5.0,N,1.0,402.0,1.0,20.1,3.0,10.0,,,,,,,20.1,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,2.0,2.0,5.0,1506.0,8.0,306G,12.0,262.0,5.0,N,1.0,180.0,2.0,27.0,4.0,3.0,20.0,6.0,5.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,2.0,2.0,5.0,1506.0,8.0,379AG,14.0,500.0,1.0,N,1.0,224.0,2.0,28.0,4.0,3.0,28.0,6.0,7.0,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,2.0,2.0,5.0,1506.0,8.0,379BG,15.0,500.0,1.0,N,1.0,242.0,2.0,30.0,4.0,3.0,30.0,12.0,8.0,,,,38.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,2.0,2.0,5.0,1506.0,8.0,379CG,12.0,502.0,1.0,N,1.0,192.0,2.0,24.0,4.0,3.0,4.0,6.0,1.0,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,2.0,2.0,5.0,1506.0,8.0,381G,13.0,490.0,1.0,N,1.0,32.0,2.0,4.0,4.0,3.0,4.0,6.0,1.0,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,28.0,2.0,5.0,1509.0,8.0,384BG,13.0,244.0,5.0,N,1.0,155.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,28.0,2.0,5.0,1510.0,8.0,303CG,13.0,260.0,5.0,N,1.0,130.0,3.0,33.0,4.0,3.0,25.0,6.0,6.0,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6139_output,HAGEN,MARSHALLING YARD,5122N,728E,47054 630,28.0,2.0,5.0,1532.0,8.0,384AG,13.0,264.0,5.0,N,1.0,155.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
