box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,401AG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,10.0,6.0,2.5,,,,5.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,401CG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,401CG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,401CG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,13.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,305G,1.0,,1.0,N,3.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,400G,1.0,,1.0,N,3.0,6.0,3.0,1.8,4.0,2.0,6.0,6.0,1.5,,,,3.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,401AG,1.0,,1.0,N,3.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,5.0,3.0,1.25,4.0,2.0,5.0,6.0,1.25,,,,2.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,5.0,3.0,1.25,4.0,2.0,5.0,6.0,1.25,,,,2.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,5.0,3.0,1.25,4.0,2.0,5.0,6.0,1.25,,,,2.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,22.0,9.0,4.0,,8.0,447CG,1.0,,1.0,N,3.0,5.0,3.0,1.25,4.0,2.0,5.0,6.0,1.25,,,,2.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,24.0,9.0,4.0,,8.0,447G,1.0,,1.0,N,3.0,5.0,3.0,1.25,4.0,2.0,,,,,,,1.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,25.0,9.0,4.0,,8.0,457AG,1.0,,1.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,26.0,9.0,4.0,,8.0,398CG,1.0,,1.0,N,3.0,,,,,,10.0,12.0,3.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,26.0,9.0,4.0,,8.0,398S,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,27.0,9.0,4.0,,8.0,96BG,1.0,,1.0,N,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,27.0,9.0,4.0,,8.0,96BG,1.0,,1.0,N,3.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,27.0,9.0,4.0,,8.0,100BG,1.0,,1.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,27.0,9.0,4.0,,8.0,452CG,1.0,,1.0,N,3.0,,,,,,6.0,6.0,1.5,,,,1.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,34AG,1.0,,1.0,N,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,34BG,1.0,,1.0,N,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,34BG,1.0,,1.0,N,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,305CG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,447BG,1.0,,1.0,N,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2639_output,HAGO BESPORTAS,BOMBINO,,,BO898,28.0,9.0,4.0,,8.0,452AG,1.0,,1.0,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2641_output,HAGO BESPORTAS,BOMBINO,,,BO898,17.0,10.0,4.0,,8.0,457CG,1.0,300.0,,N,3.0,15.0,1.0,1.0,1.0,3.0,1.0,6.0,0.25,,,,1.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2641_output,HAGO BESPORTAS,BOMBINO,,,BO898,18.0,10.0,4.0,,8.0,447AG,1.0,300.0,,N,3.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2641_output,HAGO BESPORTAS,BOMBINO,,,BO898,18.0,10.0,4.0,,8.0,452G,1.0,300.0,,N,3.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
