box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,11.0,1.0,4.0,1207.0,8.0,305G,32.0,190.0,7.0,C,1.0,330.0,3.0,99.0,4.0,2.0,,,,,,,99.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,12.0,1.0,4.0,1154.0,8.0,306G,32.0,193.0,7.0,N,1.0,396.0,3.0,118.8,4.0,2.0,546.0,10.0,38.0,,,,156.8,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,12.0,1.0,4.0,1434.0,8.0,307G,32.0,195.0,7.0,P,1.0,216.0,3.0,64.8,4.0,2.0,,,,,,,64.8,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,14.0,1.0,4.0,1730.0,8.0,309G,32.0,197.0,7.0,G,1.0,50.0,3.0,15.0,4.0,2.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,16.0,1.0,4.0,1200.0,8.0,313G,32.0,201.0,7.0,G,1.0,,,,,,,,,1.0,5.0,0.13,0.13,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,17.0,1.0,4.0,900.0,8.0,314G,32.0,202.0,7.0,G,1.0,,,,,,,,,1.0,5.0,0.13,0.13,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,18.0,1.0,4.0,1500.0,8.0,315G,32.0,203.0,7.0,G,1.0,,,,,,,,,1.0,5.0,0.13,0.13,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,19.0,1.0,4.0,1230.0,8.0,316G,32.0,204.0,7.0,G,1.0,,,,,,,,,1.0,5.0,0.13,0.13,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,19.0,1.0,4.0,1430.0,8.0,317G,32.0,205.0,7.0,G,1.0,,,,,,,,,1.0,5.0,0.13,0.13,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3312_output,HALBERSTADT,A C PLANTLANT,5153N,1103E,47057 110,20.0,1.0,4.0,600.0,8.0,318G,32.0,206.0,7.0,G,1.0,,,,4.0,2.0,548.0,5.0,27.4,1.0,5.0,0.13,27.53,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3314_output,HALBERSTADT,NANET MOTOR WORK A GOONENT,5153N,1103E,47057 130,11.0,4.0,4.0,1400.0,8.0,392G,9.0,,,G,2.0,,,,,,,,,359.0,7.0,21.0,21.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6142_output,HALBERSTADT,MARSHALLING YARD,5153N,1103E,47057 630,10.0,8.0,4.0,1148.0,8.0,457G,12.0,200.0,1.0,N,2.0,224.0,2.0,28.0,4.0,1.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6142_output,HALBERSTADT,MARSHALLING YARD,5153N,1103E,47057 630,11.0,8.0,4.0,1148.0,8.0,457BG,12.0,194.0,1.0,N,2.0,207.0,2.0,26.0,4.0,1.0,,,,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6142_output,HALBERSTADT,MARSHALLING YARD,5153N,1103E,47057 630,12.0,8.0,4.0,1148.0,8.0,457CG,11.0,206.0,1.0,N,2.0,244.0,2.0,31.0,1.0,1.0,,,,,,,31.0,False
