box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,02-03,8.0,0.0,,R,,1.0,,,,,1.0,3.0,0.25,,,60.0,2.0,0.12,,,,0.37,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,02-03,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,05-06,8.0,0.0,,R,,1.0,,,,,3.333333333333333,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,05-06,8.0,0.0,,R,,1.0,,,,,5.0,2.0,0.75,,,,,,,,,0.75,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,24,10.0,0.0,,R,,4.0,,,,,11.0,3.0,3.0,,,240.0,2.0,0.48,,,,3.48,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,24-25,10.0,0.0,,R,,4.0,,,,,26.0,3.0,9.0,,,,,,,,,9.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,05-06,11.0,0.0,,R,,6.0,,,,,1.0,4.0,0.55,,,600.0,2.0,1.0,,,,1.55,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,05-06,11.0,0.0,,R,,6.0,,,,,8.0,3.0,2.0,,,500.0,2.0,1.0,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6180_output,HAMBERG HARBURG,RAILWAY JUNCTION,5327N,1000E,47070 630,05-06,11.0,0.0,,R,,12.0,,,,,10.0,3.0,3.0,,,300.0,3.0,1.0,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6181_output,HAMBERG HARBURG,HARDECK,4959N,1225E,47071 630,23.0,3.0,5.0,1340.0,8.0,385CG,13.0,230.0,7.0,N,3.0,78.0,4.0,39.0,2.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6181_output,HAMBERG HARBURG,HARDECK,4959N,1225E,47071 630,25.0,3.0,5.0,1430.0,8.0,387G,13.0,291.0,9.0,N,3.0,170.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
