box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,4.0,4.0,1252.0,8.0,384G,35.0,244.0,1.0,N,1.0,144.0,3.0,36.0,1.0,3.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,4.0,4.0,1330.0,8.0,398G,35.0,250.0,3.0,N,1.0,144.0,3.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,3.0,6.0,4.0,1108.0,8.0,91G,18.0,195.0,3.0,N,1.0,216.0,3.0,54.0,4.0,2.0,,,,,,,54.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,3.0,6.0,4.0,1108.0,8.0,91AG,19.0,215.0,3.0,N,1.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1252.0,8.0,91S,20.0,237.0,3.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1252.0,8.0,91C,3.0,240.0,3.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1252.0,8.0,305G,4.0,248.0,3.0,N,1.0,36.0,3.0,9.0,4.0,2.0,,,,,,,9.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1252.0,8.0,379G,12.0,250.0,3.0,N,3.0,12.0,3.0,3.0,1.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1252.0,8.0,381G,12.0,256.0,3.0,N,1.0,144.0,3.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3472_output,HARDELOT,V WEAPONS,538N,135E,43086 850,4.0,6.0,4.0,1345.0,8.0,400G,12.0,250.0,3.0,N,3.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3973_output,HARDELOT,Haguenau Airdrome,538N,135E,43086,5.0,6.0,4.0,,8.0,91AG,12.0,,,N,1.0,23.33333333333333,3.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3973_output,HARDELOT,Haguenau Airdrome,538N,135E,43086,5.0,6.0,4.0,,8.0,91AG,1.0,,,N,1.0,14.0,3.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3973_output,HARDELOT,Haguenau Airdrome,538N,135E,43086,5.0,6.0,4.0,,8.0,303G,1.0,,,N,3.0,16.0,3.0,4.0,4.0,3.0,,,,,,,4.0,False
