box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,2.0,12.0,4.0,1430.0,15.0,456G,4.0,220.0,7.0,N,3.0,34.0,3.0,9.0,9.0,92.0,,,,,,,9.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,6.0,12.0,4.0,1107.0,15.0,460G,22.0,201.0,7.0,G,1.0,193.0,3.0,48.25,1.0,1.0,,,,,,,48.25,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,6.0,12.0,4.0,1430.0,15.0,460G,22.0,200.0,7.0,G,1.0,6.0,3.0,2.0,4.0,11.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,7.0,12.0,4.0,1111.0,15.0,461G,33.0,190.0,7.0,G,1.0,323.0,3.0,81.0,4.0,1.0,,,,,,,81.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1157.0,15.0,471G,18.0,197.0,7.0,C,1.0,136.0,3.0,34.0,4.0,2.0,,,,,,,34.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1200.0,15.0,472G,20.0,215.0,7.0,C,1.0,151.0,3.0,38.0,4.0,2.0,,,,,,,38.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1217.0,15.0,484G,14.0,230.0,1.0,P,1.0,103.0,3.0,26.0,4.0,2.0,,,,,,,26.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1225.0,15.0,473G,18.0,225.0,1.0,C,1.0,114.0,3.0,29.0,4.0,2.0,,,,,,,29.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1227.0,15.0,461G,17.0,232.0,1.0,C,1.0,113.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1241.0,15.0,484G,17.0,250.0,1.0,G,1.0,134.0,3.0,33.5,4.0,2.0,,,,,,,33.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1335.0,15.0,463G,20.0,232.0,1.0,P,1.0,200.0,3.0,49.0,4.0,2.0,,,,,,,49.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1340.0,15.0,468G,19.0,232.0,1.0,C,1.0,189.0,3.0,47.0,4.0,2.0,,,,,,,47.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1345.0,15.0,483G,21.0,233.0,1.0,C,1.0,189.0,3.0,47.25,4.0,2.0,,,,,,,47.25,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5078_output,HEGYESHALOM,MARSHALLING YARDS,4755N,1710E,12357 630,8.0,3.0,5.0,1352.0,15.0,469G,20.0,247.0,1.0,C,1.0,223.0,3.0,56.0,4.0,2.0,,,,,,,56.0,False
