box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,30,1.0,0.0,2230.0,R,96G,4.0,275.0,3.0,N,2.0,4.0,6.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,30-31,1.0,0.0,2000.0,R,96G,3.0,315.0,3.0,N,2.0,3.0,6.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,04-05,12.0,0.0,1315.0,R,96G,29.0,80.0,3.0,N,2.0,296.0,4.0,148.0,4.0,3.0,,,,,,,148.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,04-05,12.0,0.0,1315.0,R,96G,29.0,80.0,3.0,N,2.0,85.0,3.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,16-17,12.0,0.0,1134.0,R,96G,1.0,190.0,3.0,N,2.0,2.0,4.0,1.0,4.0,2.0,180.0,2.0,0.36,,,,1.36,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,16-17,12.0,0.0,1134.0,R,96S,1.0,196.0,3.0,N,2.0,3.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6184_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,05,1.0,1.0,1331.0,8,96AG,8.0,241.0,3.0,N,4.0,66.0,3.0,17.0,4.0,3.0,16.0,12.0,4.096,,,,21.096,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,1.0,1.0,1.0,1440.0,9.0,492G,12.0,195.0,5.0,N,1.0,96.0,3.0,24.0,4.0,3.0,48.0,6.0,12.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,1.0,1.0,1.0,1441.0,9.0,008G,12.0,205.0,5.0,N,1.0,96.0,3.0,24.0,4.0,3.0,48.0,6.0,12.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,20.0,1.0,1.0,1131.0,9.0,487AG,11.0,255.0,3.0,N,2.0,141.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,20.0,1.0,1.0,1133.0,9.0,486G,12.0,241.0,3.0,N,2.0,144.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1200.0,9.0,392G,9.0,240.0,3.0,N,2.0,100.0,3.0,30.0,4.0,3.0,4.0,5.0,0.2,,,,30.2,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1245.0,9.0,008G,2.0,225.0,7.0,N,1.0,20.0,3.0,5.0,4.0,3.0,1.0,5.0,0.05,,,,5.05,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1252.0,9.0,446G,6.0,230.0,4.0,N,2.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1300.0,9.0,008G,8.0,220.0,4.0,N,2.0,62.0,3.0,16.0,4.0,3.0,6.0,12.0,2.0,,,,18.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1330.0,9.0,466G,9.0,212.0,4.0,N,2.0,58.0,3.0,15.0,4.0,3.0,7.0,6.0,1.75,,,,16.75,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6185_output,Heilbronn,Marshalling Yard,4908N,913E,47084 630,21.0,1.0,1.0,1340.0,9.0,466G,23.0,205.0,4.0,N,2.0,70.0,3.0,15.0,4.0,3.0,12.0,6.0,3.0,,,,18.0,False
