box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,18,3.0,5.0,1214.0,15,311S,10.0,215.0,1.0,C,1.0,,,,,,501.0,7.0,17.0,,,,17.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,18,3.0,5.0,1216.0,15,313S,29.0,210.0,1.0,C,1.0,119.0,4.0,60.0,4.0,2.0,487.0,1.0,,,,,60.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,19,3.0,5.0,1815.0,15,314S,60.0,205.0,1.0,C,1.0,120.0,10.0,82.0,4.0,2.0,,,,,,,82.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1221.0,15,319S,20.0,260.0,1.0,C,1.0,100.0,4.0,50.0,4.0,2.0,,,,,,,50.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1238.0,15,320S,25.0,248.0,1.0,C,1.0,117.0,4.0,59.0,4.0,2.0,,,,,,,59.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1238.0,15,321S,148.0,250.0,1.0,C,1.0,120.0,,358.0,4.0,2.0,,,,,,,358.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1820.0,15,315S,26.0,265.0,1.0,C,1.0,128.0,4.0,64.0,4.0,2.0,,,,,,,64.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1821.0,15,316S,20.0,200.0,1.0,C,1.0,116.0,4.0,58.0,4.0,2.0,,,,,,,58.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,3.0,5.0,1822.0,15,317S,26.0,250.0,1.0,C,1.0,126.0,4.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0204_output,Hennigsdorf,Tank Plant,5238N,1325E,46184 210,24,5.0,5.0,1300.0,15,322S,208.0,250.0,1.0,C,1.0,118.0,3.0,44.0,4.0,2.0,486.0,31.0,8.0,,,,52.0,False
