box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08-09,7.0,1.0,600.0,R,,2.0,270.0,,,,1.0,4.0,0.55,,,240.0,2.0,0.48,,,,1.03,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08-09,7.0,1.0,600.0,R,,2.0,270.0,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08-09,7.0,1.0,600.0,R,,4.0,275.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,04,11.0,1.0,2019.0,R,,5.0,280.0,,,,5.0,6.0,10.0,,,,,,,,,10.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,06,11.0,1.0,1300.0,R,,2.0,280.0,,,,2.0,6.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,4,11.0,1.0,2019.0,R,,3.0,280.0,,,,2.0,6.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,6,11.0,1.0,1200.0,R,,2.0,280.0,,,,2.0,6.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,03-04,11.0,4.0,2019.0,R,,8.0,280.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,04,11.0,4.0,2026.0,R,,2.0,280.0,,,,2.0,6.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,06-07,11.0,4.0,2041.0,R,,6.0,270.0,,,,6.0,6.0,12.0,,,,,,,,,12.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08,11.0,4.0,2130.0,R,,1.0,270.0,,,,1.0,6.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08-09,11.0,4.0,2200.0,R,,7.0,270.0,,,,1.0,6.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,08-09,11.0,4.0,2230.0,R,,8.0,270.0,,,,8.0,6.0,16.0,,,,,,,,,16.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2031_output,Herford City Area,Tomglinde,5207N,840E,47097 20,10,11.0,4.0,,R,,31.0,270.0,,,,5.0,6.0,10.0,,,,,,,,,10.0,False
