box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,1.0,3.0,1.0,1050.0,8.0,303G,5.0,245.0,5.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,2.0,3.0,1.0,1053.0,8.0,306G,11.0,246.0,5.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,306B,10.0,241.0,5.0,N,1.0,139.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,306G,10.0,256.0,5.0,N,1.0,136.0,3.0,34.0,4.0,3.0,,,,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,307G,10.0,250.0,5.0,N,1.0,11.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,378G,10.0,247.0,5.0,N,1.0,11.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,401G,10.0,249.0,5.0,N,1.0,118.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,401G,10.0,239.0,5.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,401CG,13.0,252.0,5.0,N,1.0,149.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,457G,11.0,250.0,5.0,N,1.0,131.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,457B,11.0,241.0,5.0,N,1.0,139.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6193_output,HERMULHEIM,YARDS,556N,657E,47099 630,3.0,3.0,1.0,1054.0,8.0,457CG,12.0,254.0,5.0,N,1.0,143.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
