box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,2.0,4.0,,8.0,448G,35.0,170.0,7.0,G,3.0,345.0,3.0,86.0,4.0,2.0,,,,,,,86.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,22.0,4.0,4.0,1400.0,8.0,94G,35.0,205.0,1.0,N,2.0,1020.0,1.0,51.0,1.0,2.0,,,,,,,51.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,8.0,4.0,4.0,900.0,8.0,96AG,1.0,190.0,1.0,G,2.0,19.0,1.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,8.0,4.0,4.0,1400.0,8.0,452AG,29.0,200.0,1.0,N,2.0,20.0,1.0,1.0,1.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2034_output,HESEPE,UNIDENTIFIED,5227N,1057E,47102 1 0,4.0,2.0,5.0,,8.0,92G,1.0,,,,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,3.0,5.0,944.0,8.0,466G,29.0,200.0,1.0,N,1.0,1260.0,1.0,63.0,2.0,10.0,,,,,,,63.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,3.0,5.0,945.0,8.0,458G,34.0,222.0,1.0,N,1.0,1020.0,1.0,51.0,2.0,10.0,2.0,5.0,0.1,424.0,7.0,25.0,76.1,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,3.0,5.0,1040.0,8.0,467G,35.0,213.0,1.0,N,1.0,1100.0,1.0,55.0,2.0,10.0,3.0,5.0,0.15,309.0,7.0,18.0,73.15,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,3.0,5.0,1430.0,8.0,467G,35.0,220.0,1.0,N,1.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,21.0,3.0,5.0,1700.0,8.0,446G,2.0,200.0,1.0,N,4.0,,,,,,,,,80.0,7.0,5.0,5.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1023.0,8.0,3050G,11.0,249.0,1.0,N,1.0,414.0,1.0,21.0,2.0,10.0,,,,,,,21.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1025.0,8.0,92G,11.0,257.0,1.0,N,1.0,419.0,1.0,21.0,2.0,10.0,,,,,,,21.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1026.0,8.0,3060G,11.0,248.0,1.0,N,1.0,417.0,1.0,21.0,2.0,10.0,,,,,,,21.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1430.0,8.0,384G,11.0,240.0,1.0,N,1.0,36.0,1.0,2.0,2.0,10.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1430.0,8.0,384G,1.0,245.0,1.0,N,1.0,36.0,1.0,2.0,2.0,10.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4209_output,HESEPE,AIRDROME,5227N,1057E,47102 780,24.0,3.0,5.0,1430.0,8.0,384G,1.0,242.0,1.0,N,1.0,36.0,1.0,2.0,2.0,10.0,,,,,,,2.0,False
