box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,17.0,1.0,5.0,,8.0,92BG,1.0,,,,3.0,6.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2600_output,HIGH RESFONIAS HOMEO,YHBRAT,5232N,658E,49526 10,20.0,1.0,5.0,,8,457BG,1.0,,,,3.0,9.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,20.0,1.0,5.0,,8.0,305CG,1.0,,,,3.0,1.0,3.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,20.0,1.0,5.0,,8.0,305CG,1.0,,,,3.0,1.0,3.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,20.0,1.0,5.0,,8.0,305CG,1.0,,,,3.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,20.0,1.0,5.0,,8.0,305CG,1.0,,,,3.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2600_output,HIGH RESFONIAS HOMEO,YHBRAT,5232N,658E,49526 10,21.0,1.0,5.0,,8,458BG,1.0,,,,3.0,9.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,21.0,1.0,5.0,,8.0,305CG,1.0,,,,3.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,22.0,1.0,5.0,,8.0,487G,1.0,,,,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,29.0,1.0,5.0,,8.0,487AG,1.0,,,,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2602_output,HIGH RESFONIAS HOMEO,YHBRAT,5234N,733E,49535 10,29.0,1.0,5.0,,8.0,92BG,1.0,,,,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2599_output,HIGH RESFONIAS HOMEO,YHBRAT,5104N,1342E,49463 10,14.0,2.0,5.0,1332.0,8.0,91AG,12.0,257.0,3.0,N,3.0,96.0,3.0,24.0,4.0,3.0,24.0,6.0,6.0,,,,30.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2603_output,HIGH RESFONIAS HOMEO,YHBRAT,5225N,732E,49535 20,14.0,2.0,5.0,,8.0,351BG,1.0,,,,3.0,6.0,3.0,2.0,4.0,3.0,4.0,6.0,1.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2601_output,HIGH RESFONIAS HOMEO,YHBRAT,5236N,705E,49534 10,28.0,2.0,5.0,,8.0,305CG,1.0,,,,3.0,22.0,3.0,5.5,4.0,3.0,,,,,,,5.5,False
