box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,13-16,8.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,17-18,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,17-18,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,20,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,25,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,26,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,28-29,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,1-2,10.0,0.0,,R,,1.0,,,,,10.0,2.0,1.25,,,,,,,,,1.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,15-16,11.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,220.0,,,,,,0.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,15-16,11.0,0.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,06-07,4.0,1.0,,R,,1.0,,,,,66.66666666666667,2.0,10.0,,,120.0,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4386_output,HINGENE,AIRDROME,,1105,90344 780,06-07,4.0,1.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
