box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8152_output,HOMBERG,NAVAL DOCKS,,,94375 710,27.0,8.0,4.0,,R,,1.0,,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,10,11.0,4.0,1600.0,R,,10.0,172.0,,,,200.0,6.0,400.0,,,,,,,,,400.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,20,11.0,4.0,1445.0,R,,154.0,197.0,,,,1896.0,3.0,474.0,,,50.0,33.0,25.0,,,,499.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,20,11.0,4.0,1506.0,R,,169.0,197.0,,,,478.0,3.0,120.0,,,,,,,,,120.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,20-21,11.0,4.0,1506.0,R,,11.0,197.0,,,,43.0,3.0,10.75,,,,,,,,,10.75,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,21,11.0,4.0,600.0,R,,333.0,197.0,,,,501.0,3.0,150.3,,,,,,,,,150.3,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,21,11.0,4.0,1506.0,R,,169.0,197.0,,,,1232.0,3.0,308.0,,,,,,,,,308.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,21,11.0,4.0,1512.0,R,,168.0,172.0,,,,167.0,6.0,334.0,,,,,,,,,334.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,22,11.0,4.0,1512.0,R,,174.0,178.0,,,,11.0,4.0,6.0,,,,,,,,,6.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,22,11.0,4.0,1800.0,R,,195.0,197.0,,,,502.0,3.0,150.6,,,,,,,,,150.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,23,11.0,4.0,1506.0,R,,154.0,200.0,,,,154.0,3.0,46.2,,,,,,,,,46.2,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,23,11.0,4.0,1512.0,R,,179.0,197.0,,,,100.0,3.0,30.0,,,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,5,11.0,4.0,1430.0,R,,10.0,172.0,,,,,,,,,50.0,11.0,11.0,,,,11.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,6,11.0,4.0,1027.0,R,,10.0,172.0,,,,349.0,4.0,175.0,,,20.0,2.0,0.04,,,,175.04,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,7,11.0,4.0,1027.0,R,,10.0,172.0,,,,278.0,4.0,139.0,,,,,,,,,139.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,8,11.0,4.0,1027.0,R,,10.0,172.0,,,,649.0,3.0,162.0,,,156.0,31.0,2.34,,,,164.34,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0739_output,HOMBERG,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,520,94375,333,9,11.0,4.0,1027.0,R,,10.0,172.0,,,,125.0,6.0,250.0,,,680.0,32.0,85.0,,,,335.0,False
