box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,03-04,6.0,0.0,31.0,R,,9.0,255.0,,,,34.0,3.0,9.0,,,,,,,,,9.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,03-04,6.0,0.0,32.0,R,,2.0,255.0,,,,1.0,3.0,0.3,,,60.0,2.0,0.12,,,,0.42,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,05,6.0,0.0,33.0,R,,2.0,255.0,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,19,6.0,0.0,35.0,R,,3.0,255.0,,,,12.0,3.0,3.0,,,60.0,2.0,0.12,,,,3.12,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,19-20,6.0,0.0,1.0,R,,3.0,255.0,,,,46.66666666666666,2.0,7.0,,,,,,,,,7.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,3,6.0,0.0,31.0,R,,9.0,255.0,,,,34.0,2.0,5.1,,,,,,,,,5.1,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,25-26,7.0,0.0,3.0,R,,2.0,255.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,25-26,7.0,0.0,4.0,R,,2.0,255.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,27-28,7.0,0.0,100.0,R,,1.0,255.0,,,,5.0,3.0,1.25,,,,,,,,,1.25,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,28-29,7.0,0.0,30.0,R,,1.0,255.0,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,01-02,8.0,0.0,30.0,R,,4.0,255.0,,,,6.0,3.0,1.5,,,240.0,2.0,0.48,,,,1.98,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,03-14,8.0,0.0,30.0,R,,4.0,255.0,,,,7.0,3.0,1.75,,,,,,,,,1.75,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,15-16,8.0,0.0,31.0,R,,3.0,255.0,,,,12.0,3.0,3.6,,,,,,,,,3.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,16-17,8.0,0.0,15.0,R,,2.0,255.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0742_output,HOMBERG MEERBECK GWRKSCHFT,KAMEN SYN OIL PLANT,,,9446 4 520,17,8.0,0.0,18.0,R,,2.0,255.0,,,,10.0,3.0,2.5,,,,,,,,,2.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0740_output,HOMBERG MEERBECK GWRKSCHFT,SYN OIL PLT,,,94376 520,25-26,6.0,4.0,102.0,R,,39.0,300.0,,,,8.0,6.0,16.0,,,,,,,,,16.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0740_output,HOMBERG MEERBECK GWRKSCHFT,SYN OIL PLT,,,94376 520,25-26,6.0,4.0,102.0,R,,39.0,310.0,,,,130.0,3.0,46.0,,,,,,,,,46.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0740_output,HOMBERG MEERBECK GWRKSCHFT,SYN OIL PLT,,,94376 520,28,6.0,4.0,51.0,R,,36.0,300.0,,,,24.0,6.0,48.0,,,,,,,,,48.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0740_output,HOMBERG MEERBECK GWRKSCHFT,SYN OIL PLT,,,94376 520,29-30,6.0,4.0,51.0,R,,36.0,300.0,,,,40.0,3.0,10.0,,,,,,,,,10.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0740_output,HOMBERG MEERBECK GWRKSCHFT,SYN OIL PLT,,,94376 520,30,6.0,4.0,50.0,R,,36.0,300.0,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
