box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7582_output,Homburg,Flak Battery,,,47119 820,07-08,8.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7582_output,Homburg,Flak Battery,,,47119 820,07-08,8.0,0.0,,R,,1.0,,,,,2.0,4.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_15_TACTICAL,IMG_7583_output,Homburg,HORNUM FLAK BTRY,,,47122 820,15-16,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_15_TACTICAL,IMG_7583_output,Homburg,HORNUM FLAK BTRY,,,47122 820,17,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_15_TACTICAL,IMG_7583_output,Homburg,HORNUM FLAK BTRY,,,47122 820,18,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7584_output,Homburg,JOIST SEARCHLIGHTS,,,47234 800,24-25,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7584_output,Homburg,JOIST SEARCHLIGHTS,,,47234 800,26,11.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,30,1.0,1.0,1330.0,8,458CG,7.0,218.0,3.0,N,1.0,274.0,1.0,14.0,1.0,3.0,12.0,6.0,3.0,,,,17.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,30,1.0,1.0,1400.0,8,458CG,9.0,218.0,3.0,N,1.0,410.0,1.0,21.0,1.0,3.0,2.0,7.0,0.084,,,,21.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,30,1.0,1.0,1400.0,8,458AG,8.0,218.0,3.0,N,1.0,,,,,,20.0,6.0,5.0,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,30,1.0,1.0,1400.0,8,466G,8.0,220.0,3.0,N,1.0,20.0,1.0,1.0,1.0,3.0,10.0,6.0,2.5,,,,3.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,15,2.0,1.0,1215.0,R,389G,1.0,220.0,3.0,N,1.0,5.0,11.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,15-16,2.0,1.0,1245.0,R,389G,1.0,220.0,3.0,N,1.0,5.0,3.0,1.25,4.0,3.0,120.0,2.0,0.24,,,,1.49,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,14-15,3.0,1.0,1300.0,R,389B,1.0,220.0,3.0,N,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6205_output,Homburg,Marshalling Yards,5126N,638E,47119 630,14-15,3.0,1.0,1300.0,R,389G,1.0,220.0,3.0,N,1.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,3.0,3.0,1.0,1100.0,8.0,3890G,2.0,218.0,2.0,N,1.0,32.0,2.0,4.0,1.0,3.0,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,3.0,3.0,1.0,1115.0,8.0,392BG,1.0,218.0,2.0,N,3.0,20.0,2.0,3.0,1.0,3.0,2.0,12.0,0.512,,,,3.512,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,4.0,3.0,1.0,1130.0,8.0,453AG,9.0,218.0,3.0,N,1.0,164.0,2.0,20.5,1.0,3.0,1.0,5.0,0.05,,,,20.55,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,5.0,3.0,1.0,1200.0,8.0,453BG,9.0,218.0,3.0,N,1.0,,,,,,16.0,12.0,4.096,,,,4.096,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,6.0,3.0,1.0,1230.0,8.0,453BG,9.0,218.0,3.0,N,1.0,162.0,2.0,20.0,1.0,3.0,2.0,5.0,0.1,,,,20.1,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6206_output,Homburg,Marshalling Yards,,,1235,8.0,3.0,1.0,1300.0,8.0,453BG,9.0,218.0,3.0,N,1.0,,,,,,16.0,12.0,4.096,,,,4.096,False
