box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,15.0,12.0,3.0,1250.0,15.0,301G,17.0,221.0,7.0,G,1.0,204.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,16.0,12.0,3.0,1211.0,15.0,303G,20.0,230.0,7.0,G,1.0,204.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,17.0,12.0,3.0,1230.0,15.0,304G,30.0,230.0,7.0,G,2.0,346.0,3.0,87.0,4.0,3.0,,,,,,,87.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4802_output,INNSBRUCK,MYMAIN,,,0000083,1.0,2.0,4.0,1208.0,15.0,97G,26.0,250.0,3.0,C,1.0,276.0,3.0,69.0,4.0,1.0,,,,,,,69.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,19.0,6.0,4.0,1034.0,15.0,306G,31.0,230.0,7.0,G,1.0,279.0,3.0,70.0,4.0,91.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,3.0,8.0,4.0,1000.0,15.0,461G,2.0,210.0,2.0,P,3.0,16.0,3.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,20.0,10.0,4.0,1321.0,15.0,463G,15.0,210.0,1.0,P,2.0,12.0,3.0,3.6,4.0,2.0,,,,3300.0,2.0,33.0,36.6,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,21.0,10.0,4.0,1131.0,15.0,308G,2.0,272.0,1.0,G,1.0,16.0,3.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,22.0,10.0,4.0,1151.0,15.0,309G,2.0,260.0,3.0,C,1.0,18.0,3.0,5.0,4.0,2.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,23.0,10.0,4.0,1152.0,15.0,310G,1.0,250.0,1.0,G,1.0,,,,,,6.0,12.0,2.0,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,928.0,15.0,470G,3.0,230.0,3.0,P,1.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,930.0,15.0,462G,2.0,240.0,3.0,P,1.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,930.0,15.0,463G,2.0,250.0,3.0,P,1.0,4.0,3.0,1.0,4.0,92.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,937.0,15.0,468G,5.0,210.0,3.0,P,1.0,26.0,3.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,937.0,15.0,469G,4.0,220.0,3.0,P,1.0,8.0,3.0,2.0,4.0,92.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,937.0,15.0,471G,3.0,235.0,3.0,P,1.0,6.0,3.0,2.0,4.0,92.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,940.0,15.0,472G,2.0,260.0,7.0,P,1.0,16.0,3.0,4.0,4.0,92.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,1010.0,15.0,467G,1.0,207.0,3.0,P,1.0,7.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,1011.0,15.0,466G,2.0,215.0,3.0,P,1.0,12.0,3.0,3.0,4.0,92.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,15.0,11.0,4.0,1030.0,15.0,465G,2.0,220.0,3.0,G,1.0,9.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,16.0,11.0,4.0,1000.0,15.0,980G,2.0,265.0,7.0,P,1.0,4.0,3.0,1.0,4.0,13.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,2.0,11.0,4.0,530.0,15.0,467G,2.0,227.0,7.0,P,2.0,16.0,3.0,4.0,4.0,92.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,2.0,11.0,4.0,606.0,15.0,461G,1.0,240.0,3.0,G,1.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,22.0,11.0,4.0,400.0,15.0,482G,1.0,275.0,7.0,N,2.0,6.0,3.0,2.0,1.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,24.0,11.0,4.0,600.0,15.0,312G,1.0,250.0,7.0,N,3.0,7.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,25.0,11.0,4.0,406.0,15.0,454G,1.0,275.0,5.0,N,2.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,25.0,11.0,4.0,406.0,15.0,455G,2.0,275.0,3.0,N,2.0,8.0,3.0,2.0,4.0,2.0,1.0,13.0,0.05,,,,2.05,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,25.0,11.0,4.0,410.0,15.0,455G,2.0,275.0,3.0,N,2.0,4.0,3.0,1.0,4.0,92.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,26.0,11.0,4.0,406.0,15.0,454G,1.0,275.0,3.0,N,2.0,4.0,3.0,1.0,4.0,10.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,26.0,11.0,4.0,430.0,15.0,459G,2.0,200.0,3.0,N,2.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,26.0,11.0,4.0,447.0,15.0,314G,2.0,245.0,3.0,G,2.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,27.0,11.0,4.0,500.0,15.0,464G,2.0,250.0,3.0,N,2.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,27.0,11.0,4.0,600.0,15.0,315G,2.0,245.0,5.0,G,2.0,4.0,3.0,1.0,4.0,92.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,28.0,11.0,4.0,501.0,15.0,316G,1.0,245.0,7.0,P,2.0,6.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,28.0,11.0,4.0,510.0,15.0,465G,2.0,250.0,3.0,N,2.0,4.0,3.0,1.0,4.0,92.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,29.0,11.0,4.0,930.0,15.0,317G,2.0,245.0,5.0,C,2.0,4.0,3.0,1.0,4.0,92.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,1.0,12.0,4.0,1024.0,15.0,319G,2.0,250.0,3.0,P,1.0,8.0,3.0,2.0,4.0,92.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,1.0,12.0,4.0,1030.0,15.0,322G,2.0,260.0,3.0,P,1.0,12.0,3.0,3.0,4.0,92.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,1.0,12.0,4.0,1049.0,15.0,320G,2.0,253.0,3.0,P,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4797_output,INNSBRUCK,MARSHALLING YARD,4716N,1123E,2429. 630,1.0,12.0,4.0,1600.0,15.0,321G,2.0,255.0,5.0,P,1.0,8.0,3.0,2.0,4.0,92.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,16.0,12.0,4.0,1130.0,15.0,450G,50.0,235.0,3.0,P,1.0,69.0,3.0,17.0,4.0,92.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4801_output,INNSBRUCK,MYMAIN,4716N,1123E,2429,16.0,12.0,4.0,1145.0,15.0,451G,66.0,230.0,3.0,P,1.0,230.0,3.0,69.0,4.0,2.0,239.0,12.0,61.184,,,,130.184,False
