box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,12-13,10.0,0.0,1400.0,R,101A,1.0,200.0,1.0,N,3.0,4.0,2.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,30-31,5.0,2.0,1300.0,R,100G,7.0,200.0,1.0,N,3.0,13.333333333333334,3.0,4.0,1.0,2.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,30-31,5.0,2.0,1400.0,R,101G,7.0,200.0,1.0,N,3.0,80.0,2.0,10.0,1.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,01-02,6.0,2.0,600.0,R,103G,2.0,200.0,1.0,N,3.0,4.0,2.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,01-02,6.0,2.0,1430.0,R,104G,7.0,200.0,1.0,N,3.0,6.666666666666667,2.0,1.0,1.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,03-04,7.0,3.0,600.0,R,106G,1.0,200.0,1.0,N,3.0,1.0,6.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,03-04,7.0,3.0,1430.0,R,107G,1.0,200.0,1.0,N,3.0,6.0,4.0,3.0,1.0,3.0,8.0,31.0,0.12,,,,3.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,01-02,5.0,4.0,1800.0,R,109G,1.0,200.0,1.0,N,3.0,,,,,,4.0,31.0,0.06,,,,0.06,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,01-02,11.0,4.0,1415.0,R,110G,1.0,200.0,1.0,N,3.0,2.0,3.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,18-19,11.0,4.0,1500.0,R,112G,1.0,200.0,1.0,N,3.0,2.0,3.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,24-25,12.0,4.0,1830.0,R,116G,50.0,200.0,1.0,N,3.0,134.0,8.0,67.0,1.0,3.0,,,,,,,67.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,24-25,12.0,4.0,1830.0,R,117G,50.0,200.0,1.0,N,3.0,409.0,3.0,102.0,1.0,3.0,12.0,31.0,0.18,,,,102.18,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,24-25,12.0,4.0,1831.0,R,114G,100.0,200.0,1.0,N,3.0,723.0,4.0,362.0,1.0,3.0,,,,,,,362.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,24-25,12.0,4.0,1831.0,R,115G,10.0,200.0,1.0,N,3.0,121.0,2.0,15.0,1.0,3.0,,,,,,,15.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1300.0,8,379BG,12.0,265.0,5.0,N,1.0,450.0,1.0,23.0,1.0,3.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1306.0,8,379AG,13.0,270.0,5.0,N,1.0,490.0,1.0,25.0,1.0,3.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1306.0,8,379CG,13.0,280.0,5.0,N,1.0,488.0,1.0,24.0,1.0,3.0,,,,,,,24.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1328.0,8,303CG,13.0,275.0,1.0,N,1.0,466.0,1.0,23.0,1.0,3.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1343.0,8,384BG,12.0,256.0,1.0,N,1.0,455.0,1.0,23.0,1.0,3.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1430.0,8,100BG,1.0,200.0,1.0,N,3.0,6.0,4.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1434.0,8,91G,1.0,200.0,1.0,N,3.0,38.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4113_output,JATI,BONN HANGELAR AD,544N,704E,46212 781,10,1.0,5.0,1500.0,8,91AG,1.0,200.0,1.0,N,3.0,38.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
