box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,1.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,1.0,1.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,11,10.0,1.0,,R,,1.0,,,,,3.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,11-12,10.0,1.0,,R,,1.0,,,,,3.0,3.0,1.0,,,500.0,2.0,1.0,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,12.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,12.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,12.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,16-17,12.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,28,12.0,1.0,,R,,1.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2062_output,Juist,City Area,5341N,701E,47234,28,12.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
