box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6802_output,JULICH,RY JUNCTION,,,94435 630,26,6.0,0.0,,R,,1.0,,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6802_output,JULICH,RY JUNCTION,,,94435 630,26-27,6.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,10-11,8.0,2.0,1430.0,R,,1.0,210.0,,,,4.0,3.0,1.0,,,40.0,11.0,8.8,,,,9.8,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6801_output,JULICH,RY WORK TARGET SHOP,,944E,94435 630,16.0,11.0,2.0,,R,,2.0,,,,2.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6801_output,JULICH,RY WORK TARGET SHOP,,944E,94435 630,26.0,4.0,3.0,,R,,2.0,,,,2.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6801_output,JULICH,RY WORK TARGET SHOP,,944E,94435 630,27.0,4.0,3.0,,R,,3.0,,,,2.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6801_output,JULICH,RY WORK TARGET SHOP,,944E,94435 630,7.0,4.0,3.0,,R,,13.0,,,,2.0,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1520.0,R,,469.0,210.0,,,,274.0,3.0,69.0,,,,,,,,,69.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1523.0,R,,469.0,210.0,,,,75.0,6.0,150.0,,,1159.090909090909,11.0,255.0,,,,405.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1523.0,R,,469.0,210.0,,,,999.0,3.0,335.0,,,70.0,11.0,15.4,,,,350.4,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1523.0,R,,469.0,210.0,,,,1512.0,8.0,756.0,,,,,,,,,756.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1523.0,R,,469.0,210.0,,,,477.0,4.0,239.0,,,80.0,2.0,0.16,,,,239.16,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2882_output,JULICH,FRAGMENTATION BONDO,,944E,2169,16,11.0,4.0,1523.0,R,,469.0,210.0,,,,363.0,5.0,363.0,,,,,,,,,363.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,21-22,,5.0,1200.0,R,,,50.0,,,3.0,46.66666666666666,2.0,7.0,,,,,,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,21-22,,5.0,,R,,,30.0,,,2.0,26.0,3.0,6.5,,,,,,,5.0,,6.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,23,,5.0,600.0,R,,,50.0,,,4.0,10.0,10.0,7.0,,,,,,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,24,,5.0,600.0,R,,,50.0,,,1.0,5.0,4.0,2.75,,,,,,,,,2.75,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,25,,5.0,930.0,R,,,50.0,,,1.0,6.0,5.0,7.0,,,,,,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6800_output,JULICH,RY WORK TARGET SHOP,,,9443 5,31,,5.0,1530.0,R,,,50.0,,,4.0,3.0,6.0,6.0,,,,,,,,,6.0,False
