box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,1.0,12.0,1.0,1330.0,8.0,8457G,12.0,257.0,3.0,N,2.0,214.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,1.0,12.0,1.0,1340.0,8.0,8388G,11.0,252.0,1.0,N,1.0,66.0,4.0,33.0,1.0,1.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,2.0,12.0,1.0,1400.0,8.0,8390G,11.0,260.0,1.0,N,1.0,62.0,4.0,31.0,4.0,2.0,,,,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,2.0,12.0,1.0,1400.0,8.0,8390G,12.0,262.0,1.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,7.0,12.0,1.0,1430.0,8.0,844G,20.0,256.0,1.0,N,1.0,4.0,4.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,7.0,12.0,1.0,1430.0,8.0,8491G,8.0,213.0,5.0,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,7.0,12.0,1.0,1430.0,8.0,8491G,8.0,220.0,1.0,N,1.0,42.0,4.0,21.0,4.0,2.0,,,,,,,21.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,7.0,12.0,1.0,1430.0,8.0,8491G,8.0,217.0,1.0,N,1.0,44.0,4.0,22.0,4.0,2.0,5.0,5.0,0.25,,,,22.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,7.0,12.0,1.0,1430.0,8.0,8491G,9.0,220.0,1.0,N,1.0,50.0,4.0,25.0,4.0,2.0,5.0,5.0,0.25,,,,25.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,25.0,1.0,2.0,412.0,8.0,100BG,13.0,265.0,1.0,N,1.0,130.0,3.0,33.0,4.0,3.0,25.0,6.0,6.0,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,25.0,1.0,2.0,423.0,8.0,100CG,13.0,240.0,1.0,N,1.0,130.0,3.0,33.0,4.0,3.0,26.0,12.0,7.0,,,,40.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,27.0,1.0,2.0,420.0,8.0,446G,9.0,220.0,1.0,N,1.0,45.45454545454545,4.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,27.0,1.0,2.0,435.0,8.0,446G,6.0,218.0,1.0,N,3.0,36.0,4.0,18.0,4.0,2.0,,,,,,,18.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6221_output,KAISERSLAUTERN,EINSIEDLERHOF,4927N,747E,47261 631,28.0,1.0,2.0,4.0,9.0,491G,10.0,211.0,3.0,N,1.0,,,,,,3.0,7.0,0.126,,,,0.126,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6221_output,KAISERSLAUTERN,EINSIEDLERHOF,4927N,747E,47261 631,28.0,1.0,2.0,4.0,9.0,491G,10.0,214.0,3.0,N,1.0,182.0,2.0,23.0,1.0,3.0,16.0,6.0,4.0,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6218_output,KAISERSLAUTERN,RAILROAD BRIDGE,4927N,747E,47261 610,28.0,1.0,2.0,400.0,8.0,44BG,10.0,216.0,4.0,N,1.0,56.0,4.0,28.0,4.0,2.0,,,,,,,28.0,False
