box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,1.0,4.0,5.0,1525.0,8.0,91G,12.0,145.0,1.0,N,1.0,228.0,2.0,29.0,1.0,1.0,,,,,,,29.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,10.0,4.0,5.0,1331.0,8.0,96G,36.0,180.0,1.0,N,1.0,172.0,1.0,9.0,3.0,3.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,10.0,4.0,5.0,1520.0,8.0,398G,12.0,160.0,1.0,N,1.0,189.0,2.0,24.0,1.0,1.0,,,,,,,24.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,11.0,4.0,5.0,1400.0,8.0,97G,36.0,180.0,1.0,N,1.0,600.0,2.0,75.0,4.0,1.0,,,,,,,75.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,11.0,4.0,5.0,1520.0,8.0,398B,11.0,160.0,1.0,N,1.0,208.0,2.0,26.0,9.0,1.0,,,,,,,26.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,12.0,4.0,5.0,1521.0,8.0,398CG,10.0,166.0,1.0,N,1.0,189.0,2.0,24.0,9.0,1.0,,,,,,,24.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,7.0,4.0,5.0,1326.0,8.0,98G,35.0,180.0,1.0,N,1.0,280.0,3.0,70.0,4.0,2.0,140.0,6.0,35.0,,,,105.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,7.0,4.0,5.0,1330.0,8.0,99G,35.0,182.0,1.0,N,1.0,700.0,2.0,88.0,4.0,3.0,,,,,,,88.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,7.0,4.0,5.0,1337.0,8.0,95G,37.0,180.0,1.0,N,1.0,280.0,3.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,7.0,4.0,5.0,1519.0,8.0,381G,12.0,149.0,1.0,N,1.0,227.0,2.0,28.0,4.0,1.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,7.0,4.0,5.0,1525.0,8.0,91G,12.0,155.0,1.0,N,1.0,228.0,2.0,29.0,1.0,1.0,,,,,,,29.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,8.0,4.0,5.0,1500.0,8.0,95G,36.0,180.0,1.0,N,1.0,308.0,1.0,6.0,3.0,2.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,8.0,4.0,5.0,1534.0,8.0,381G,12.0,147.0,1.0,N,1.0,227.0,2.0,28.0,4.0,1.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4232_output,Kaltenkirchen,Airdrome,5351N,959E,47320 780,9.0,4.0,5.0,600.0,8.0,95G,35.0,180.0,1.0,N,1.0,280.0,1.0,2.0,4.0,1.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4233_output,Kaltenkirchen,KOHLENBISSEN AIRDROME,5259N,1010E,47321 780,9.0,4.0,5.0,1530.0,8.0,381G,13.0,154.0,1.0,N,1.0,246.0,2.0,31.0,4.0,1.0,,,,,,,31.0,False
