box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,5.0,2.0,0.0,1540.0,15,310G,11.0,245.0,2.0,N,3.0,20.0,4.0,10.0,4.0,92.0,,,,,,,10.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,13.0,3.0,0.0,1112.0,15,315G,1.0,247.0,3.0,N,2.0,6.0,5.0,6.0,1.0,92.0,,,,,,,6.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,15.0,3.0,0.0,1135.0,15,317G,10.0,245.0,1.0,N,2.0,23.33333333333333,3.0,7.0,2.0,92.0,,,,,,,7.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,30.0,3.0,0.0,1135.0,15,318G,6.0,240.0,2.0,N,1.0,3.0,3.0,1.0,3.0,2.0,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,31.0,3.0,0.0,1200.0,15,319G,10.0,245.0,2.0,N,2.0,10.0,5.0,10.0,4.0,92.0,,,,,,,10.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,31.0,3.0,0.0,1200.0,15,320G,19.0,243.0,2.0,N,2.0,7.0,5.0,7.0,5.0,92.0,,,,,,,7.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,7.0,3.0,0.0,1542.0,15,312G,12.0,254.0,2.0,N,2.0,10.0,7.0,2.5,5.0,91.0,,,,,,,2.5,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,11.0,12.0,0.0,1110.0,15,313G,12.0,250.0,2.0,N,2.0,8.0,3.0,2.0,6.0,91.0,,,,,,,2.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0111_output,KAPFENBURG,TANK WORKS,4726N,1519E,2464 210,12.0,12.0,0.0,1111.0,15,314G,18.0,252.0,2.0,N,2.0,6.0,5.0,6.0,9.0,91.0,,,,,,,6.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4809_output,KAPFENBURG,KAUMBERG MARSHALLING YARDS,4801N,1554E,2465 630,13.0,2.0,5.0,,15,98G,1.0,,1,,3.0,8.0,3.0,3.0,2.0,4.0,2.0,,,,,,3.0,False
