box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,1.0,4.0,1133.0,8.0,351G,15.0,235.0,3.0,C,1.0,138.0,3.0,35.0,4.0,2.0,,,,,,,35.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,839.0,8.0,390BG,16.0,250.0,3.0,N,1.0,160.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,842.0,8.0,96AG,18.0,256.0,3.0,N,1.0,180.0,3.0,45.0,4.0,2.0,,,,,,,45.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,842.0,8.0,96BG,16.0,256.0,3.0,N,1.0,160.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,842.0,8.0,100AG,17.0,277.0,3.0,N,1.0,170.0,1.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,842.0,8.0,388BG,17.0,258.0,3.0,N,1.0,,,,,,714.0,7.0,25.0,,,,25.0,False
BOX_7,BOOK_17_NAVAL,IMG_8101_output,KARBEN,DOMINO FINCHVAL,4358N,,,18.0,7.0,4.0,842.0,8.0,390AG,17.0,266.0,3.0,N,1.0,170.0,3.0,42.5,4.0,2.0,,,,,,,42.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2580_output,KARBEN,YHBRAT,50 39 N,7 51 E,49266 10,1.0,1.0,5.0,,8.0,306CG,1.0,,,,3.0,18.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2589_output,KARBEN,YHBRAT,5011N,1140E,49303,1.0,1.0,5.0,,8.0,92CG,1.0,,,,3.0,18.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2595_output,KARBEN,YHBRAT,51 31 N,9 51 E,49426 10,1.0,1.0,5.0,,8,305AG,1.0,,,,3.0,5.0,11.0,1.0,4.0,3.0,,,,,,,1.0,False
