box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,05-06,9.0,0.0,800.0,R,,1.0,80.0,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,05-06,9.0,0.0,1434.0,R,,1.0,80.0,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,25-26,8.0,1.0,930.0,R,,1.0,80.0,,,,5.0,4.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,25-26,8.0,1.0,1434.0,R,,1.0,80.0,,,,6.0,3.0,1.8,,,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,01-02,10.0,1.0,2115.0,R,,1.0,80.0,,,,2.0,4.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4220_output,KARLSRUHE,AIRDROME,4726N,780E,05-0690R,01-02,10.0,1.0,2116.0,R,,1.0,80.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6229_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,5.0,1.0,4.0,1150.0,8.0,492G,9.0,235.0,2.0,N,1.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6229_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,5.0,1.1,4.0,1139.0,8.0,493G,21.0,230.0,3.0,N,2.0,76.0,5.0,76.0,4.0,4.0,,,,,,,76.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,23.0,172.0,1.0,N,1.0,276.0,3.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,13.0,248.0,1.0,N,1.0,62.0,4.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,20.0,238.0,1.0,N,1.0,100.0,4.0,50.0,4.0,3.0,,,,,,,50.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,3.5,385.0,1.0,N,1.0,289.0,4.0,144.5,4.0,3.0,,,,,,,144.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,24.0,193.0,1.0,N,1.0,288.0,3.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,10.0,252.0,1.0,N,3.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,3.0,240.0,1.0,N,3.0,30.0,3.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,11.0,237.0,1.0,N,3.0,110.0,3.0,28.0,4.0,91.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,10.0,227.0,1.0,N,3.0,120.0,3.0,30.0,4.0,91.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,11.0,248.0,1.0,N,3.0,,,,,,110.0,6.0,27.5,,,,27.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,10.0,245.0,1.0,N,1.0,143.0,3.0,36.0,4.0,3.0,139.0,6.0,35.0,,,,71.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,10.0,230.0,1.0,N,1.0,180.0,3.0,45.0,4.0,3.0,,,,,,,45.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,800.0,8.0,,20.0,245.0,1.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,930.0,8.0,,167.0,250.0,1.0,N,1.0,289.0,3.0,72.25,4.0,3.0,,,,,,,72.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,1200.0,8.0,,13.0,180.0,1.0,N,1.0,300.0,4.0,165.0,4.0,3.0,,,,,,,165.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,1200.0,8.0,,20.0,236.0,1.0,N,1.0,115.0,4.0,58.0,4.0,3.0,,,,,,,58.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,1200.0,8.0,,18.0,227.0,1.0,N,1.0,90.0,4.0,45.0,4.0,3.0,,,,,,,45.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6228_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,,4.0,4.0,1400.0,8.0,,77.0,225.0,1.0,N,2.0,289.0,3.0,72.25,4.0,3.0,,,,,,,72.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6229_output,KARLSRUHE,MARSHALLING YARD,4901N,823E,47267 630,8.0,9.0,4.0,1150.0,8.0,467G,8.0,260.0,1.0,N,1.0,196.0,4.0,98.0,4.0,3.0,,,,,,,98.0,False
