box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,425.0,9.0,452G,12.0,255.0,3.0,N,2.0,110.0,3.0,28.0,4.0,3.0,22.0,12.0,6.0,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,1255.0,8.0,96G,12.0,257.0,3.0,N,2.0,120.0,3.0,30.0,4.0,3.0,24.0,6.0,6.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,1306.0,9.0,100AG,12.0,260.0,3.0,N,2.0,140.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,1306.0,9.0,101G,12.0,250.0,3.0,N,2.0,143.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,1310.0,9.0,100S,12.0,246.0,3.0,N,2.0,36.0,3.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,1.0,1.0,2.0,1607.0,9.0,490G,12.0,233.0,3.0,N,2.0,218.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,3.0,1.0,2.0,1306.0,9.0,100G,12.0,257.0,3.0,N,2.0,153.0,3.0,38.25,4.0,3.0,,,,,,,38.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,30.0,1.0,2.0,1320.0,9.0,388G,12.0,260.0,3.0,N,2.0,240.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,31.0,1.0,2.0,1311.0,9.0,493G,11.0,232.0,3.0,N,2.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,31.0,1.0,2.0,1311.0,9.0,493G,11.0,240.0,3.0,N,2.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6235_output,Kassel - Rothenditmold,Rothenditmold Mar Yd,5119N,928E,47269 632,2.0,12.0,2.0,413.0,9.0,490G,12.0,252.0,3.0,N,2.0,220.0,2.0,28.0,4.0,3.0,,,,,,,28.0,False
