box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0114_output,KNITTLEFELD,IRON WORKS,4713N,1449E,2471 390,6.0,3.0,0.0,1345.0,8,,7.0,230.0,3,,3.0,7.0,3.0,2.0,4.0,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1083_output,KNITTLEFELD,CITY AREA,4713N,1449E,2471 20,,12.0,4.0,,15,459G,1.0,,7,N,3.0,10.0,3.0,2.5,3.0,4.0,91.0,,,,,,2.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1083_output,KNITTLEFELD,CITY AREA,4713N,1449E,2471 20,,12.0,4.0,,15,461G,1.0,,9,N,3.0,10.0,3.0,2.5,3.0,4.0,,,,,,,2.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,23.0,2.0,5.0,1229.0,15.0,459G,26.0,170.0,1.0,C,2.0,252.0,3.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,23.0,2.0,5.0,1300.0,15.0,484G,21.0,200.0,7.0,C,2.0,180.0,3.0,54.0,4.0,2.0,,,,,,,54.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,23.0,2.0,5.0,1400.0,15.0,451G,27.0,175.0,1.0,C,2.0,212.0,3.0,53.0,4.0,2.0,,,,,,,53.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,23.0,2.0,5.0,1400.0,15.0,461G,26.0,182.0,1.0,C,1.0,196.0,3.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,1.0,3.0,5.0,1246.0,15.0,486G,4.0,242.0,1.0,G,3.0,4.0,3.0,1.2,4.0,91.0,,,,,,,1.2,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,16.0,3.0,5.0,1200.0,15.0,495G,1.0,245.0,1.0,C,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,16.0,3.0,5.0,1430.0,15.0,496G,1.0,245.0,1.0,C,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,20.0,3.0,5.0,1355.0,15.0,498G,1.0,204.0,1.0,G,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,21.0,3.0,5.0,1800.0,15.0,499G,1.0,202.0,1.0,G,3.0,9.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,22.0,3.0,5.0,1130.0,15.0,500G,2.0,200.0,3.0,G,3.0,6.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,22.0,3.0,5.0,1150.0,15.0,501G,1.0,195.0,1.0,C,3.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,22.0,3.0,5.0,1430.0,15.0,502G,1.0,190.0,1.0,G,3.0,9.0,3.0,2.25,4.0,91.0,,,,,,,2.25,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,3.0,3.0,5.0,1412.0,15.0,488G,5.0,235.0,1.0,C,3.0,38.0,3.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,4.0,3.0,5.0,1356.0,15.0,490G,10.0,243.0,1.0,C,2.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,5.0,3.0,5.0,1335.0,15.0,491G,19.0,248.0,3.0,C,2.0,218.0,3.0,55.0,4.0,2.0,,,,,,,55.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4815_output,KNITTLEFELD,MARSHALLING YARD,4713N,1449E,2471 630,7.0,3.0,5.0,900.0,15.0,493G,1.0,245.0,7.0,P,2.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
