box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,13,1.0,4.0,425.0,R,,2.0,300.0,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,13-14,1.0,4.0,425.0,R,,3.0,310.0,,,,18.0,11.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,15,1.0,4.0,700.0,R,,3.0,320.0,,,,15.0,3.0,5.0,,,,,,,,,5.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,16,1.0,4.0,800.0,R,,20.0,330.0,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,3,1.0,4.0,1200.0,R,,1.0,290.0,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0365_output,Kobe,Krupp Blast Furnaces,,,94749,03-04,1.1,4.0,2020.0,R,,10.0,280.0,,,,29.0,3.0,7.0,,,,,,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,23,3.0,4.0,1029.0,8,392G,22.0,180.0,3.0,P,1.0,148.0,3.0,37.0,4.0,2.0,468.0,7.0,16.0,,,,53.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,11-12,4.0,4.0,2314.0,R,393G,3.0,220.0,1.0,P,1.0,9.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1100.0,8,406G,29.0,259.0,1.0,N,1.0,173.0,4.0,87.0,4.0,3.0,,,,,,,87.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1413.0,8,399G,19.0,253.0,1.0,N,1.0,212.0,3.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1413.0,8,402G,21.0,242.0,1.0,N,1.0,,,,,,861.0,7.0,30.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1414.0,8,396G,26.0,263.0,1.0,N,1.0,240.0,3.0,60.0,4.0,3.0,248.0,7.0,9.0,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1415.0,8,397G,26.0,246.0,1.0,N,1.0,239.0,3.0,60.0,4.0,3.0,252.0,7.0,9.0,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1417.0,8,400G,27.0,253.0,1.0,N,1.0,240.0,3.0,60.0,4.0,3.0,294.0,7.0,10.0,,,,70.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1420.0,8,401G,20.0,253.0,1.0,N,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1423.0,8,398G,18.0,260.0,1.0,N,1.0,216.0,3.0,54.0,4.0,3.0,,,,,,,54.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1424.0,8,395G,20.0,233.0,1.0,N,1.0,,,,,,840.0,7.0,29.0,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,13,5.0,4.0,1825.0,R,408G,80.0,190.0,1.0,N,1.0,6.0,6.0,12.0,4.0,3.0,,,,,,,12.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,31,5.0,4.0,1051.0,8,405G,23.0,266.0,1.0,N,1.0,138.0,4.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,31,5.0,4.0,1101.0,8,404G,22.0,259.0,1.0,N,1.0,216.0,4.0,108.0,4.0,3.0,,,,,,,108.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,14,9.0,4.0,1825.0,R,409G,80.0,190.0,1.0,N,1.0,182.0,4.0,91.0,4.0,3.0,,,,,,,91.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,15,9.0,4.0,1825.0,R,410G,80.0,190.0,1.0,N,1.0,477.0,4.0,239.0,4.0,3.0,,,,,,,239.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,16,9.0,4.0,1825.0,R,411G,80.0,190.0,1.0,N,1.0,237.0,3.0,59.0,4.0,3.0,,,,,,,59.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,19,9.0,4.0,1445.0,8,303CG,11.0,250.0,1.0,N,3.0,31.0,3.0,9.3,4.0,3.0,,,,,,,9.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1412.0,8,351BG,12.0,272.0,1.0,N,1.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1413.0,8,351CG,12.0,276.0,1.0,N,1.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1420.0,8,384AG,13.0,270.0,1.0,N,1.0,65.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1424.0,8,384CG,13.0,265.0,1.0,N,1.0,55.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1425.0,8,379AG,14.0,272.0,1.0,N,1.0,70.0,4.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1425.0,8,379BG,14.0,272.0,1.0,N,1.0,70.0,4.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1426.0,8,379CG,14.0,277.0,1.0,N,1.0,70.0,4.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1430.0,8,384BG,12.0,261.0,1.0,N,1.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1430.0,8,398BG,12.0,269.0,1.0,N,1.0,,,,,,110.0,6.0,27.5,,,,27.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1433.0,8,381AG,12.0,270.0,1.0,N,1.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1435.0,8,381BG,12.0,265.0,1.0,N,1.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1435.0,8,381CG,13.0,270.0,1.0,N,1.0,,,,,,130.0,6.0,32.5,,,,32.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6421_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,,26,9.0,4.0,1435.0,8,398G,12.0,280.0,1.0,N,1.0,,,,,,115.0,6.0,29.0,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6422_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,1139,11.0,10.0,4.0,930.0,8.0,467G,21.0,220.0,3.0,N,2.0,836.0,1.0,6.0,1.0,2.0,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6422_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,1139,11.0,10.0,4.0,1135.0,8.0,467G,19.0,230.0,1.0,N,2.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6422_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,1139,11.0,10.0,4.0,1136.0,8.0,389G,22.0,222.0,3.0,N,2.0,,,,,,244.0,6.0,61.0,,,,61.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6422_output,Kobe,OSNABRUCK NAME MARSHALLING YARD,,,1139,11.0,10.0,4.0,1139.0,8.0,392G,21.0,220.0,3.0,N,2.0,236.0,3.0,59.0,4.0,2.0,,,,,,,59.0,False
