box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,28.0,12.0,4.0,1222.0,8,305S,22.0,220.0,3.0,G,1.0,172.0,3.0,43.0,4.0,91.0,,,,,,,43.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,29.0,12.0,4.0,1200.0,8,305G,22.0,225.0,4.0,G,1.0,150.0,3.0,43.0,4.0,91.0,,,,,,,43.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,900.0,8,305S,18.0,230.0,5.0,G,2.0,50.0,3.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1229.0,8,305G,14.0,184.0,1.0,P,1.0,100.0,3.0,31.0,4.0,91.0,,,,,,,31.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1231.0,8,457G,20.0,193.0,1.0,P,1.0,188.0,3.0,47.0,4.0,91.0,,,,,,,47.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1234.0,8,455G,13.0,190.0,1.0,P,1.0,122.0,3.0,31.0,4.0,91.0,,,,,,,31.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1245.0,8,45G,19.0,185.0,7.0,P,1.0,162.0,3.0,41.0,4.0,91.0,,,,,,,41.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1248.0,8,458G,21.0,193.0,1.0,G,1.0,196.0,3.0,49.0,4.0,91.0,,,,,,,49.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1250.0,8,455G,20.0,185.0,1.0,P,1.0,186.0,3.0,46.5,4.0,91.0,,,,,,,46.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1252.0,8,456G,6.0,186.0,1.0,P,1.0,58.0,3.0,15.0,4.0,91.0,1.0,,,,,,15.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1252.0,8,456G,12.0,200.0,3.0,P,1.0,108.0,3.0,27.0,4.0,91.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,22.0,3.0,5.0,1301.0,8,305S,13.0,235.0,7.0,G,2.0,68.0,3.0,17.0,4.0,2.0,,,,,,,17.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,23.0,3.0,5.0,900.0,8,459G,138.0,192.0,1.0,P,1.0,134.0,3.0,33.5,4.0,91.0,,,,,,,33.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0432_output,KRALUPY,OIL REFINERY,526N,1319E,5508500,24.0,3.0,5.0,900.0,8,460G,160.0,192.0,1.0,P,1.0,134.0,3.0,40.2,4.0,91.0,,,,,,,40.2,False
