box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,16,11.0,3.0,1945.0,R,,1.0,316.0,,,,8.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,16-17,11.0,3.0,1932.0,R,,1.0,316.0,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,05-06,1.0,4.0,2100.0,R,,1.0,280.0,,,,32.0,3.0,8.0,,,,,,,,,8.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,5,1.0,4.0,2045.0,R,,1.0,300.0,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,01-02,2.0,4.0,1939.0,R,,4.0,290.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,1,2.0,4.0,1920.0,R,,5.0,290.0,,,,20.0,3.0,6.0,,,,,,,,,6.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,03-04,3.0,4.0,2200.0,R,,4.0,276.0,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,04-05,3.0,4.0,2030.0,R,,1.0,300.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,07-08,3.0,4.0,2126.0,R,,1.0,288.0,,,,5.0,11.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0307_output,KREFELD VERDINGEN,STEEL ROLLING MILLS DEUT,5118N,633E,47307 390,07-08,3.0,4.0,2210.0,R,,5.0,390.0,,,,24.0,3.0,6.0,,,,,,,,,6.0,False
