box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1301.0,8,392G,30.0,180.0,1,N,1.0,328.0,3.0,82.0,4.0,3.0,10.0,5.0,0.5,,,,82.5,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1307.0,8,467G,38.0,185.0,1,N,1.0,306.0,3.0,77.0,4.0,5.0,,,,,,,77.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1322.0,8,44BG,10.0,180.0,1,N,1.0,112.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1322.0,8,459G,1.0,180.0,1,N,4.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,458BG,19.0,187.0,1,N,1.0,204.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,458BG,1.0,188.0,1,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,458CG,8.0,187.0,1,N,1.0,86.0,3.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,466G,20.0,195.0,1,N,1.0,216.0,3.0,64.8,2.0,3.0,,,,,,,64.8,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,467G,50.0,186.0,1,N,1.0,50.0,4.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,468G,127.0,186.0,1,N,1.0,100.0,5.0,100.0,4.0,3.0,,,,,,,100.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0833_output,KRUMMEL,MUNITIONS PLANT,5325N,1025E,47324 230,7,4.0,5.0,1327.0,8,469G,127.0,187.0,1,N,1.0,150.0,6.0,300.0,4.0,3.0,,,,,,,300.0,False
