box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,23-24,6.0,4.0,1315.0,R,,102.0,130.0,,,,400.0,3.0,100.0,,,,,,,,,100.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,23-24,6.0,4.0,1355.0,R,,52.0,130.0,,,,1118.0,4.0,559.0,,,,,,,,,559.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,24,7.0,4.0,1355.0,R,,52.0,130.0,,,,406.0,4.0,203.0,,,,,,,,,203.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,24,7.0,4.0,1355.0,R,,52.0,130.0,,,,168.0,3.0,42.0,,,,,,,,,42.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,24,7.0,4.0,1528.0,R,,51.0,130.0,,,,862.0,3.0,216.0,,,,,,,,,216.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,24-25,7.0,4.0,2344.0,R,,51.0,130.0,,,,12.0,4.0,6.0,,,,,,,,,6.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,24-25,7.0,4.0,2344.0,R,,51.0,130.0,,,,741.0,3.0,185.0,,,,,,,,,185.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,25,7.0,4.0,1355.0,R,,52.0,130.0,,,,143.0,4.0,72.0,,,,,,,,,72.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,27,7.0,4.0,1528.0,R,,51.0,130.0,,,,6.0,4.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,26,8.0,4.0,2104.0,R,,19.0,130.0,,,,304.0,3.0,76.0,,,,,,,,,76.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,27,8.0,4.0,2104.0,R,,2.0,130.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,28,8.0,4.0,1949.0,R,,11.0,130.0,,,,9.0,3.0,2.25,,,,,,,,,2.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,28,8.0,4.0,1949.0,R,,11.0,130.0,,,,63.0,2.0,8.0,,,,,,,,,8.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,29,8.0,4.0,1950.0,R,,10.0,130.0,,,,63.0,3.0,18.9,,,,,,,,,18.9,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2719_output,L Hey Town Area,TOWN AREA,,93500,201620,29,8.0,4.0,2105.0,R,,4.0,130.0,,,,63.0,3.0,16.0,,,,,,,,,16.0,False
