box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,21.0,1.0,4.0,1419.0,8.0,91G,6.0,202.0,7.0,G,1.0,204.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,21.0,3.0,4.0,418.0,8.0,93G,20.0,200.0,1.0,N,1.0,270.0,3.0,68.0,4.0,3.0,,,,,,,68.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1553_output,LA GLACERIE,CITY AREA,4935N,134W,43298 20,26.0,3.0,4.0,1506.0,8,452G,6.0,212.0,7,G,1.0,1.0,3.0,0.3,2.0,4.0,,,,,,,0.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1553_output,LA GLACERIE,CITY AREA,4935N,134W,43298 20,28.0,3.0,4.0,2200.0,8,454G,6.0,212.0,9,G,1.0,1.0,3.0,0.3,3.0,4.0,,,,,,,0.3,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,21.0,4.0,4.0,1855.0,8.0,94G,21.0,190.0,1.0,N,1.0,248.0,3.0,62.0,4.0,2.0,,,,,,,62.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,20.0,5.0,4.0,1600.0,8.0,95G,22.0,200.0,1.0,N,1.0,40.0,4.0,20.0,4.0,2.0,,,,,,,20.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,20.0,6.0,4.0,1800.0,8.0,96G,7.0,205.0,1.0,N,1.0,36.0,3.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,22.0,6.0,4.0,1041.0,8.0,98G,23.0,210.0,1.0,N,3.0,112.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,23.0,6.0,4.0,415.0,8.0,99G,22.0,215.0,1.0,N,1.0,328.0,3.0,82.0,4.0,3.0,,,,,,,82.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,1.0,6.0,5.0,800.0,8.0,101G,28.0,250.0,1.0,N,1.0,73.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,8.0,6.0,5.0,1915.0,8.0,102G,24.0,200.0,1.0,N,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,8.0,6.0,5.0,1915.0,8.0,103G,24.0,220.0,1.0,N,1.0,72.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,8.0,7.0,5.0,1915.0,8.0,104G,6.0,230.0,1.0,N,1.0,95.0,3.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,9.0,8.0,5.0,1915.0,8.0,105G,20.0,230.0,1.0,N,1.0,84.0,3.0,21.0,4.0,2.0,,,,,,,21.0,False
BOX_3,BOOK_8_WEAPON,IMG_3480_output,LA GLACERIE,NO BALL,4935N,134W,43298 850,9.0,9.0,5.0,1915.0,8.0,106G,20.0,230.0,1.0,N,1.0,67.0,3.0,17.0,4.0,3.0,,,,,,,17.0,False
