box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,21-22,7.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,23-24,7.0,0.0,,R,,1.0,,,,,5.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,25-26,7.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,29-30,8.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,31,8.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,03-04,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4503_output,Langeoog,LAVHAUSEN,,,94508 780,08-09,,0.0,,R,,1.0,,,,,10.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,12-13,8.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4502_output,Langeoog,LASTRUP AIRDROME,,,94506,12-13,8.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4501_output,Langeoog,Airdrome,,41216,94502 780,29.0,10.0,2.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
