box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,7.0,1.0,900.0,R,,1.0,,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,7.0,1.0,1200.0,R,,2.0,,,,,18.0,4.0,10.0,,,,,,,,,10.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,100.0,R,,6.0,,,,,10.0,4.0,5.0,,,,,,,,,5.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,200.0,R,,6.0,,,,,16.0,4.0,8.0,,,,,,,,,8.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,1430.0,R,,1.0,,,,,10.0,4.0,5.0,,,,,,,,,5.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,1430.0,R,,6.0,,,,,20.0,4.0,10.0,,,,,,,,,10.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,1430.0,R,,5.0,,,,,21.0,4.0,10.5,,,,,,,,,10.5,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,2.0,1800.0,R,,3.0,,,,,10.0,4.0,5.0,,,,,,,,,5.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,7.0,2.0,1430.0,R,,3.0,,,,,15.0,4.0,8.25,,,,,,,,,8.25,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,3.0,1400.0,R,,9.0,,,,,16.363636363636363,4.0,9.0,,,,,,,,,9.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0355_output,LE TRAIT,SHIPYARDS,,,93519 750,6,6.0,3.0,1430.0,R,,3.0,,,,,22.0,4.0,11.0,,,,,,,,,11.0,False
