box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,29,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,29,7.0,0.0,,R,,1.0,,,,,11.0,2.0,1.375,,,,,,,,,1.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,30,7.0,0.0,,R,,1.0,,,,,800.0,2.0,100.0,,,,,,,,,100.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,30,7.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,8.0,0.0,,R,,3.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,8.0,0.0,,R,,2.0,,,,,36.0,4.0,18.0,,,,,,,,,18.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,15-16,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,15-16,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,17-18,8.0,0.0,,R,,2.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,19-20,8.0,0.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,2,8.0,0.0,,R,,4.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,2,8.0,0.0,,R,,3.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,23-27,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28-29,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,30,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,60.0,2.0,0.12,,,,0.495,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,11,1.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,3.0,1.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,3.0,1.0,,R,,4.0,,,,,6.0,4.0,4.0,,,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3754_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,24-25,3.0,1.0,,R,,3.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1228_output,LEEUWARDEN,Unidentified Target,5313N,548E,11475,08-09,8.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1228_output,LEEUWARDEN,Unidentified Target,5313N,548E,11475,10,10.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,10,1.0,2.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,10-11,1.0,2.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,10-11,1.0,2.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,14-15,1.0,2.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,14-15,1.0,2.0,,R,,1.0,,,,,4.0,2.0,0.5,,,2.0,32.0,0.25,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,22-23,1.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,22-23,1.0,2.0,,R,,1.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28,1.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3757_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28-29,1.0,2.0,2200.0,R,325G,6.0,,,,,24.0,3.0,6.0,,,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28-29,1.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,28-29,1.0,2.0,,R,,1.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,26-27,3.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,26-27,3.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,05-06,4.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,05-06,4.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,08-09,4.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,08-09,4.0,2.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3756_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,4.0,2.0,,R,,3.0,,,,,8.0,2.0,1.0,9.0,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3756_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,1,4.0,2.0,,R,,4.0,,,,,20.0,2.0,2.0,9.0,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3755_output,LEEUWARDEN,AIRDROME,5313N,548E,11475.780,15-16,4.0,2.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
