box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,24.0,4.0,4.0,1346.0,8.0,466G,22.0,190.0,1.0,N,1.0,220.0,3.0,55.0,4.0,2.0,,,,,,,55.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,24.0,4.0,4.0,1346.0,8.0,467G,26.0,180.0,1.0,N,1.0,260.0,3.0,65.0,4.0,2.0,998.0,6.0,249.5,410.0,1.0,-4.0,310.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,24.0,4.0,4.0,1349.0,8.0,458G,24.0,180.0,1.0,N,1.0,239.0,3.0,59.75,4.0,2.0,,,,,,,59.75,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,24.0,4.0,4.0,1351.0,8.0,392G,25.0,190.0,1.0,N,1.0,,,,,,999.0,26.0,9.0,,,,9.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,19.0,7.0,4.0,947.0,8.0,389G,2.0,180.0,1.0,N,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,19.0,7.0,4.0,948.0,8.0,445G,37.0,180.0,1.0,N,1.0,260.0,3.0,65.0,4.0,2.0,,,,440.0,7.0,26.0,91.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2109_output,LEIPHEIM,LEHRTE FACTORY,4826N,1013E,47371 20,19.0,7.0,4.0,950.0,8.0,453G,10.0,181.0,1.0,N,1.0,,,,,,,,,379.0,7.0,22.0,22.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2110_output,LEIPHEIM,TARORT LENGER,5208N,740E,47374 10,30.0,10.0,4.0,1314.0,8.0,303CG,12.0,273.0,3.0,N,3.0,215.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,19.0,3.0,5.0,1430.0,R,305G,1.0,209.0,1.0,N,1.0,2.0,3.0,0.6,4.0,2.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,19.0,3.0,5.0,1445.0,8,467G,28.0,200.0,1.0,N,1.0,248.0,3.0,62.0,4.0,2.0,2.0,5.0,0.1,,,,62.1,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,19.0,3.0,5.0,1446.0,8,305A,1.0,192.0,1.0,N,1.0,96.0,3.0,24.0,4.0,2.0,168.0,6.0,42.0,,,,66.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,19.0,3.0,5.0,1450.0,8,466G,28.0,182.0,1.0,N,1.0,162.0,3.0,41.0,4.0,2.0,8.0,6.0,2.0,,,,43.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,19.0,4.0,5.0,1735.0,8,469G,26.0,220.0,1.0,N,1.0,432.0,2.0,54.0,3.0,2.0,,,,,,,54.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,20.0,4.0,5.0,1734.0,8,470G,30.0,220.0,1.0,N,1.0,650.0,2.0,81.0,3.0,2.0,10.0,5.0,0.5,,,,81.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,21.0,4.0,5.0,1736.0,8,491G,31.0,230.0,1.0,N,1.0,174.0,3.0,52.2,4.0,2.0,104.0,6.0,26.0,,,,78.2,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4239_output,LEIPHEIM,AIRDROME,4826N,1013E,47371 780,22.0,4.0,5.0,1530.0,8,491G,88.0,240.0,1.0,N,1.0,200.0,3.0,60.0,4.0,2.0,520.0,5.0,26.0,,,,86.0,False
