box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,15-16,6.0,2.0,1500.0,R,305A,105.0,221.0,1.0,N,4.0,1904.0,3.0,476.0,6.0,2.0,,,,,,,476.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,20-21,4.0,4.0,600.0,R,305G,6.0,221.0,1.0,N,4.0,1454.0,4.0,727.0,1.0,2.0,,,,,,,727.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,20-21,4.0,4.0,1430.0,R,305S,7.0,221.0,1.0,N,4.0,887.0,3.0,221.75,2.0,2.0,,,,,,,221.75,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,10-11,5.0,4.0,1430.0,R,305A,120.0,221.0,1.0,N,4.0,565.0,3.0,169.5,5.0,2.0,,,,,,,169.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,10-11,5.0,4.0,1530.0,R,305A,120.0,221.0,1.0,N,4.0,565.0,4.0,283.0,3.0,2.0,,,,,,,283.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1525_output,Lens,Unidentified Target,526N,250E,43366 10,2.0,6.0,4.0,1954.0,8.0,490G,12.0,240.0,1.0,N,3.0,240.0,2.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,25,6.0,4.0,1430.0,8,458G,10.0,221.0,1.0,N,4.0,3.0,3.0,0.9,4.0,2.0,,,,,,,0.9,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,1,8.0,4.0,1400.0,8,458G,127.0,221.0,1.0,N,4.0,250.0,3.0,75.0,6.0,91.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,27,8.0,4.0,1615.0,8,445G,6.0,221.0,1.0,N,4.0,132.0,2.0,17.0,1.0,91.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5670_output,Lens,Marshalling Yard,526N,250E,43366 630,29,8.0,4.0,1200.0,8,458G,127.0,221.0,1.0,N,4.0,1470.909090909091,4.0,809.0,5.0,91.0,,,,,,,809.0,False
BOX_3,BOOK_8_WEAPON,IMG_3488_output,Lens,V Weapon Altitude High Explosive,526N,250E,43366,6.0,,4.0,1936.0,8.0,91G,23.0,247.0,1.0,N,1.0,272.0,3.0,68.0,4.0,3.0,,,,,,,68.0,False
