box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,20,11.0,0.0,1005.0,R,99A,4.0,220.0,1.0,N,2.0,14.0,3.0,4.0,4.0,3.0,180.0,2.0,0.36,,,,4.36,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,20,11.0,0.0,1010.0,R,99G,4.0,216.0,1.0,N,2.0,5.0,11.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,28.0,1.0,4.0,630.0,8.0,491G,10.0,250.0,4.0,N,2.0,50.0,3.0,15.0,4.0,91.0,,,,,,,15.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,28.0,1.0,4.0,1216.0,8.0,490AG,10.0,255.0,3.0,N,3.0,200.0,2.0,25.0,4.0,91.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,07,7.0,4.0,1200.0,8,467G,22.0,200.0,1.0,N,1.0,232.0,2.0,29.0,1.0,3.0,,,,,,,29.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,20.0,7.0,4.0,1120.0,8.0,95BG,13.0,265.0,1.0,N,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,20.0,7.0,4.0,1121.0,8.0,95G,17.0,254.0,1.0,N,1.0,158.0,3.0,40.0,4.0,3.0,,,,,,,40.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,20.0,7.0,4.0,1125.0,8.0,390AG,17.0,244.0,1.0,N,1.0,143.33333333333334,3.0,43.0,4.0,3.0,,,,,,,43.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,20.0,7.0,4.0,1434.0,8.0,39G,5.0,250.0,1.0,N,1.0,52.0,3.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,21,7.0,4.0,1012.0,8,96G,16.0,50.0,1.0,N,3.0,608.0,1.0,30.0,1.0,2.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,22,7.0,4.0,920.0,8,388G,3.0,100.0,1.0,N,2.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,23,7.0,4.0,921.0,8,389G,2.0,200.0,1.0,N,1.0,20.0,1.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,24,7.0,4.0,923.0,8,445G,29.0,50.0,1.0,N,1.0,130.0,1.0,6.5,4.0,3.0,,,,,,,6.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,25,7.0,4.0,928.0,8,452G,13.0,100.0,1.0,N,2.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,26,7.0,4.0,932.0,8,458G,22.0,228.0,1.0,N,1.0,213.0,3.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,27,7.0,4.0,929.0,8,466G,24.0,100.0,1.0,N,1.0,130.0,2.0,12.0,1.0,3.0,,,,,,,12.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0640_output,Lutzkendorf,Syn Oil,5116N,1150E,47406 520,7,7.0,4.0,935.0,8,467G,22.0,228.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,7.0,7.0,4.0,1400.0,8.0,106G,2.0,255.0,1.0,N,1.0,4.0,5.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,7.0,7.0,4.0,1430.0,8.0,105G,1.0,255.0,1.0,N,1.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0642_output,Lutzkendorf,WAG SYN OIL,5116N,1150E,47406 521,7.0,7.0,4.0,1434.0,8.0,107G,1.0,255.0,1.0,N,3.0,38.0,1.0,2.0,1.0,4.0,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1156.0,8.0,306BG,12.0,265.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1159.0,8.0,303AG,10.0,279.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1200.0,8.0,91BG,12.0,273.0,1.0,N,1.0,120.0,3.0,30.0,4.0,5.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1200.0,8.0,303BG,12.0,268.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1200.0,8.0,351AG,12.0,279.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1210.0,8.0,91G,12.0,282.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,1211.0,8.0,91CG,12.0,287.0,1.0,N,1.0,105.0,3.0,26.0,4.0,3.0,,,,,,,26.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,11.0,9.0,4.0,,8.0,306CG,2.0,270.0,1.0,N,1.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0638_output,Lutzkendorf,Oil Refinery,5116N,1150E,47406 500,13.0,9.0,4.0,1116.0,8.0,91AG,12.0,285.0,1.0,C,1.0,118.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
