box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8183_output,MAASLUIS,DOCKS CANALS,,,95552 710,29-30,6.0,0.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8183_output,MAASLUIS,DOCKS CANALS,,,95552 710,30,6.0,0.0,,R,,2.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_17_NAVAL,IMG_8183_output,MAASLUIS,DOCKS CANALS,,,95552 710,1,10.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,18,3.0,3.0,,R,,12.0,,,,,27.0,3.0,7.0,,,,,,,,,7.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,18,3.0,3.0,,R,,12.0,,,,,38.0,2.0,5.0,,,120.0,31.0,2.0,,,,7.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,22,3.0,3.0,,R,,12.0,,,,,27.0,3.0,7.0,,,,,,,,,7.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,22,3.0,3.0,,R,,12.0,,,,,22.0,2.0,3.0,,,120.0,31.0,2.0,,,,5.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,22,3.0,3.0,,R,,12.0,,,,,28.0,3.0,10.0,,,120.0,31.0,2.0,,,,12.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,22,3.0,3.0,,R,,24.0,,,,,25.0,3.0,7.5,,,120.0,31.0,1.8,,,,9.3,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,22,3.0,3.0,,R,,12.0,,,,,,,,,,120.0,31.0,1.8,,,,1.8,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0749_output,MAASLUIS,OIL REF,,,95552,18,5.0,3.0,,R,,12.0,,,,,30.0,3.0,12.0,,,120.0,31.0,2.0,,,,14.0,False
